Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
052022-BEL-CBC-T2-9-PAST_S23_R2_16S	052022-BEL-CBC-T2-9-PAST_S23_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784774.0	179.3 Mbp	0.0	200-251	49.0	4.229497919146149	229.01566438235722	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-11-PAST_S19_R2_16S	052022-BEL-CBC-T3-11-PAST_S19_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	165720.0	38.1 Mbp	0.0	209-251	45.0	6.9985517740767555	230.28183079893796	228	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-13-MCAV_S5_R2_16S	052022-BEL-CBC-T3-13-MCAV_S5_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	261449.0	59.8 Mbp	0.0	183-251	42.0	4.8257977655297974	229.18737688803552	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-19-MCAV_S6_R2_16S	052022-BEL-CBC-T3-19-MCAV_S6_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105507.0	24.2 Mbp	0.0	198-251	43.0	8.516022633569337	230.62842749770158	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-66-OFAV_S40_R2_16S	052022-BEL-CBC-T3-66-OFAV_S40_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109427.0	25.6 Mbp	0.0	214-251	45.0	6.003088817202336	234.68409990221792	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-8-PAST_S17_R2_16S	052022-BEL-CBC-T3-8-PAST_S17_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124776.0	28.8 Mbp	0.0	208-251	49.0	9.603609668526	231.20282746682054	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T1-21-PAST_S16_R2_16S	062019-BEL-CBC-T1-21-PAST_S16_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47036.0	11.2 Mbp	0.0	228-251	59.0	7.258270261076623	238.65169232077557	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T1-22-MCAV_S18_R2_16S	062019-BEL-CBC-T1-22-MCAV_S18_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256119.0	58.5 Mbp	0.0	191-251	40.0	3.4558154607819027	229.2144413339112	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T2-18-MCAV_S79_R2_16S	062019-BEL-CBC-T2-18-MCAV_S79_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	79020.0	18.4 Mbp	0.0	219-251	47.0	4.906352822070362	233.8532143761073	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-1-MCAV_S48_R2_16S	062019-BEL-CBC-T3-1-MCAV_S48_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	89326.0	21 Mbp	0.0	218-251	46.0	2.3285493585294312	235.6762980543179	231	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T1-1347-OANN_S65_R2_16S	062024-BEL-CBC-T1-1347-OANN_S65_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	134432.0	31.1 Mbp	0.0	224-251	51.0	4.318168293263509	231.6815564746489	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T1-1353-MCAV_S86_R2_16S	062024-BEL-CBC-T1-1353-MCAV_S86_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1089524.0	248.6 Mbp	0.0	208-251	47.0	2.372962871859638	228.25468369673362	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T2-1375-SSID_S33_R2_16S	062024-BEL-CBC-T2-1375-SSID_S33_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9824460.0	2.2 Gbp	0.0	198-251	53.0	1.8189033298572217	233.56017287464147	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T2-1396-MCAV_S49_R2_16S	062024-BEL-CBC-T2-1396-MCAV_S49_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	920277.0	212.8 Mbp	0.0	200-251	51.0	2.6298603572619985	230.80670548106713	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T3-1415-MCAV_S50_R2_16S	062024-BEL-CBC-T3-1415-MCAV_S50_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	196382.0	45.6 Mbp	0.0	210-251	40.0	1.8143210681223332	232.60578871790693	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T3-1433-PSTR_S2_R2_16S	062024-BEL-CBC-T3-1433-PSTR_S2_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	978597.0	223.4 Mbp	0.0	202-251	55.0	3.2379007906216755	228.81905881583532	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
062024-BEL-CBC-T3-1439-OFAV_S41_R2_16S	062024-BEL-CBC-T3-1439-OFAV_S41_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	247409.0	56.9 Mbp	0.0	189-251	40.0	3.9768157181024133	229.72478163688467	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T3-1442-OFAV_S35_R2_16S	062024-BEL-CBC-T3-1442-OFAV_S35_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	630600.0	146.9 Mbp	0.0	206-251	49.0	1.745321915635902	233.02970662860767	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T1-1479-PAST_S47_R2_16S	082024-BEL-CBC-T1-1479-PAST_S47_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	494793.0	113.5 Mbp	0.0	200-251	49.0	3.277128011107675	229.0701293268094	228	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
