Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
052022_BEL_CBC_T1_60_MCAV_S92_R2_16S	(1.0, 1.0475852272727273)	(2.0, 0.25703463203463206)	(3.0, 0.16360592532467533)	(4.0, 0.11921672077922077)	(5.0, 0.09723349567099568)	(6.0, 0.07229099025974026)	(7.0, 0.09321732954545454)	(8.0, 0.06764069264069264)	(9.0, 0.026633522727272724)	('>10', 0.791607481060606)	('>50', 0.32848011363636365)	('>100', 0.5831895968614719)	('>500', 0.9437990395021646)	('>1k', 1.5485491071428572)	('>5k', 1.1824438582251082)	('>10k+', 92.67747226731602)
052022_BEL_CBC_T1_70_MCAV_S36_R2_16S	(1.0, 1.8301834778080683)	(2.0, 0.5115324532116274)	(3.0, 0.25467227354077604)	(4.0, 0.1479024543930967)	(5.0, 0.094079963593242)	(6.0, 0.09057931378512137)	(7.0, 0.0658559745152694)	(8.0, 0.04200779769744759)	(9.0, 0.04332054137549283)	('>10', 0.7878649974401498)	('>50', 0.47258772409628536)	('>100', 1.0084059353517496)	('>500', 1.4243268906790822)	('>1k', 3.862529482035103)	('>5k', 4.474268036004183)	('>10k+', 84.8898826844733)
052022_BEL_CBC_T2_45_PSTR_S31_R2_16S	(1.0, 1.455074382103894)	(2.0, 0.4443588073451498)	(3.0, 0.3659938802053336)	(4.0, 0.3550681687600051)	(5.0, 0.34714440998016616)	(6.0, 0.3166710997828122)	(7.0, 0.2858836317483721)	(8.0, 0.2611000690449113)	(9.0, 0.20985743517353028)	('>10', 1.8356940549469039)	('>50', 0.44795416925846887)	('>100', 1.8197767245345404)	('>500', 0.8889270532483571)	('>1k', 3.929032442730772)	('>5k', 3.2606790975432163)	('>10k+', 83.77678457359356)
052022_BEL_CBC_T2_46_PSTR_S68_R2_16S	(1.0, 1.307172294963638)	(2.0, 0.32380494089706074)	(3.0, 0.1867388992805197)	(4.0, 0.17199226966152606)	(5.0, 0.11874917535294893)	(6.0, 0.13597944785514152)	(7.0, 0.09344706348035982)	(8.0, 0.08692750091196262)	(9.0, 0.07823475082076636)	('>10', 1.693378763301072)	('>50', 0.9555815993107891)	('>100', 1.3764038403328083)	('>500', 0.9456470277779935)	('>1k', 2.416739753032761)	('>5k', 3.0497582328880886)	('>10k+', 87.05944444013257)
052022_BEL_CBC_T3_50_MCAV_S47_R2_16S	(1.0, 3.598499269709199)	(2.0, 1.2736825346282439)	(3.0, 0.7091781286557803)	(4.0, 0.46655545018447636)	(5.0, 0.4032174328374739)	(6.0, 0.3177284148882413)	(7.0, 0.20835784941472904)	(8.0, 0.19659013034479417)	(9.0, 0.2024739898797616)	('>10', 3.0260343478953087)	('>50', 1.3494804898140007)	('>100', 4.6399424073984346)	('>500', 4.766964551476849)	('>1k', 18.211929698261837)	('>5k', 6.334147844084645)	('>10k+', 54.295217460526224)
052022_BEL_CBC_T3_54_PAST_S93_R2_16S	(1.0, 1.7321849259564457)	(2.0, 0.5057049951617811)	(3.0, 0.31696317140971675)	(4.0, 0.22772111343999069)	(5.0, 0.17438103281440728)	(6.0, 0.17643257437692975)	(7.0, 0.14241117679843263)	(8.0, 0.11762171625128649)	(9.0, 0.11847652523567084)	('>10', 3.6679853519932437)	('>50', 1.4512946936877487)	('>100', 2.1830111843207516)	('>500', 1.9221234822866484)	('>1k', 6.290197392490674)	('>5k', 0.9681566557137142)	('>10k+', 80.00533400806256)
052022_BEL_CBC_T3_60_MCAV_S80_R2_16S	(1.0, 1.1849046054049055)	(2.0, 0.4143067193991607)	(3.0, 0.2821952160291087)	(4.0, 0.2118828884598447)	(5.0, 0.17499256412978248)	(6.0, 0.13305740912210487)	(7.0, 0.1272768739706706)	(8.0, 0.1025782237781788)	(9.0, 0.10215782122171084)	('>10', 2.0850915794418947)	('>50', 1.5917491794267602)	('>100', 1.8835085536155145)	('>500', 0.6253488027460695)	('>1k', 2.2424272362000233)	('>5k', 0.9239397184774281)	('>10k+', 87.91458260857684)
062019_BEL_CBC_T1_18_PAST_S42_R2_16S	(1.0, 2.9583656271788996)	(2.0, 1.0772927632858627)	(3.0, 0.5790448602661512)	(4.0, 0.34712766816988905)	(5.0, 0.19750367326907484)	(6.0, 0.1867307456362162)	(7.0, 0.13825257128835236)	(8.0, 0.09815334065493414)	(9.0, 0.09156988487929832)	('>10', 1.8565345287293034)	('>50', 0.7538056863103022)	('>100', 2.0815690170601275)	('>500', 0.5458283333981704)	('>1k', 3.205245218765243)	('>5k', 8.390015890068259)	('>10k+', 77.49296019103991)
062019_BEL_CBC_T1_1_PAST_S7_R2_16S	(1.0, 2.709309817694844)	(2.0, 1.438985256402158)	(3.0, 0.9146842191704674)	(4.0, 0.6451640072602006)	(5.0, 0.38111842465436135)	(6.0, 0.24130481472591056)	(7.0, 0.17539870040722821)	(8.0, 0.09770107681747164)	(9.0, 0.08906800752972092)	('>10', 1.0300725598945504)	('>50', 0.5577805010549189)	('>100', 1.5649017304039856)	('>500', 1.0372316905234167)	('>1k', 2.8849190807676273)	('>5k', 2.400624949991367)	('>10k+', 83.83173516270178)
062019_BEL_CBC_T1_24_MCAV_S69_R2_16S	(1.0, 1.2284610714928987)	(2.0, 0.4112659519822819)	(3.0, 0.255665330246893)	(4.0, 0.1767809850369906)	(5.0, 0.15176480790911456)	(6.0, 0.11107182644776956)	(7.0, 0.08522177674896433)	(8.0, 0.09205953183058378)	(9.0, 0.09906406142638907)	('>10', 1.1207247353288459)	('>50', 0.4881490030219542)	('>100', 0.4901502971921843)	('>500', 0.5713694856006885)	('>1k', 1.8830510396723215)	('>5k', 2.090518535319507)	('>10k+', 90.7446815607426)
