Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
102019_BEL_CBC_T1_28_PSTR_S19_R2_16S	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 14.0)	(16.0, 181.0)	(17.0, 504.0)	(18.0, 516.0)	(19.0, 573.0)	(20.0, 554.0)	(21.0, 695.0)	(22.0, 879.0)	(23.0, 764.0)	(24.0, 1162.0)	(25.0, 1363.0)	(26.0, 1138.0)	(27.0, 1310.0)	(28.0, 1491.0)	(29.0, 1704.0)	(30.0, 2221.0)	(31.0, 2926.0)	(32.0, 4196.0)	(33.0, 5398.0)	(34.0, 6436.0)	(35.0, 7013.0)	(36.0, 8387.0)	(37.0, 11985.0)	(38.0, 24370.0)	(39.0, 349073.0)	(40.0, 85990.0)							
102019_BEL_CBC_T1_31_PSTR_S22_R2_16S	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 25.0)	(16.0, 203.0)	(17.0, 585.0)	(18.0, 727.0)	(19.0, 763.0)	(20.0, 627.0)	(21.0, 795.0)	(22.0, 1075.0)	(23.0, 868.0)	(24.0, 1312.0)	(25.0, 1563.0)	(26.0, 1326.0)	(27.0, 1457.0)	(28.0, 1717.0)	(29.0, 1866.0)	(30.0, 2274.0)	(31.0, 2703.0)	(32.0, 3824.0)	(33.0, 5016.0)	(34.0, 6684.0)	(35.0, 8383.0)	(36.0, 10003.0)	(37.0, 13680.0)	(38.0, 35628.0)	(39.0, 376765.0)	(40.0, 117443.0)								
102019_BEL_CBC_T2_33_PSTR_S72_R2_16S	(13.0, 1.0)	(14.0, 4.0)	(15.0, 51.0)	(16.0, 675.0)	(17.0, 2304.0)	(18.0, 2116.0)	(19.0, 1748.0)	(20.0, 1710.0)	(21.0, 2426.0)	(22.0, 3524.0)	(23.0, 2909.0)	(24.0, 5490.0)	(25.0, 5747.0)	(26.0, 4339.0)	(27.0, 4546.0)	(28.0, 5082.0)	(29.0, 5259.0)	(30.0, 6029.0)	(31.0, 6946.0)	(32.0, 8920.0)	(33.0, 10634.0)	(34.0, 13269.0)	(35.0, 17725.0)	(36.0, 25029.0)	(37.0, 39161.0)	(38.0, 90156.0)	(39.0, 1774772.0)	(40.0, 726153.0)											
102019_BEL_CBC_T3_36_PSTR_S83_R2_16S	(7.0, 1.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 1.0)	(11.0, 2.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 31.0)	(16.0, 406.0)	(17.0, 1286.0)	(18.0, 1427.0)	(19.0, 1326.0)	(20.0, 1253.0)	(21.0, 1849.0)	(22.0, 2580.0)	(23.0, 2001.0)	(24.0, 3555.0)	(25.0, 3870.0)	(26.0, 3343.0)	(27.0, 3647.0)	(28.0, 4208.0)	(29.0, 4825.0)	(30.0, 5823.0)	(31.0, 7720.0)	(32.0, 10385.0)	(33.0, 13132.0)	(34.0, 16007.0)	(35.0, 18104.0)	(36.0, 21860.0)	(37.0, 32565.0)	(38.0, 68191.0)	(39.0, 1104165.0)	(40.0, 407501.0)					
112023_BEL_CBC_T2_308_PAST_S62_R2_16S	(13.0, 1.0)	(14.0, 8.0)	(15.0, 50.0)	(16.0, 274.0)	(17.0, 679.0)	(18.0, 777.0)	(19.0, 1439.0)	(20.0, 1469.0)	(21.0, 1285.0)	(22.0, 1131.0)	(23.0, 1081.0)	(24.0, 1151.0)	(25.0, 1163.0)	(26.0, 1216.0)	(27.0, 1409.0)	(28.0, 1709.0)	(29.0, 1979.0)	(30.0, 2221.0)	(31.0, 2690.0)	(32.0, 3400.0)	(33.0, 4412.0)	(34.0, 5668.0)	(35.0, 6383.0)	(36.0, 8680.0)	(37.0, 13982.0)	(38.0, 40620.0)	(39.0, 478344.0)	(40.0, 34242.0)											
112023_BEL_CBC_T3_347_MCAV_S81_R2_16S	(15.0, 26.0)	(16.0, 153.0)	(17.0, 481.0)	(18.0, 461.0)	(19.0, 477.0)	(20.0, 447.0)	(21.0, 663.0)	(22.0, 683.0)	(23.0, 637.0)	(24.0, 1228.0)	(25.0, 913.0)	(26.0, 868.0)	(27.0, 1015.0)	(28.0, 1148.0)	(29.0, 1133.0)	(30.0, 1342.0)	(31.0, 1520.0)	(32.0, 2012.0)	(33.0, 2433.0)	(34.0, 2906.0)	(35.0, 3911.0)	(36.0, 5515.0)	(37.0, 9149.0)	(38.0, 23605.0)	(39.0, 348572.0)	(40.0, 113888.0)													
112023_BEL_CBC_T4_396_MCAV_S1_R2_16S	(14.0, 1.0)	(15.0, 6.0)	(16.0, 60.0)	(17.0, 161.0)	(18.0, 208.0)	(19.0, 213.0)	(20.0, 183.0)	(21.0, 218.0)	(22.0, 200.0)	(23.0, 188.0)	(24.0, 391.0)	(25.0, 276.0)	(26.0, 313.0)	(27.0, 313.0)	(28.0, 317.0)	(29.0, 335.0)	(30.0, 400.0)	(31.0, 502.0)	(32.0, 627.0)	(33.0, 723.0)	(34.0, 954.0)	(35.0, 1215.0)	(36.0, 1661.0)	(37.0, 2807.0)	(38.0, 6993.0)	(39.0, 78837.0)	(40.0, 19424.0)												
122022_BEL_CBC_T1_120_OANN_S35_R2_16S	(14.0, 2.0)	(15.0, 31.0)	(16.0, 247.0)	(17.0, 792.0)	(18.0, 1043.0)	(19.0, 1333.0)	(20.0, 1318.0)	(21.0, 1333.0)	(22.0, 1612.0)	(23.0, 1417.0)	(24.0, 2488.0)	(25.0, 2704.0)	(26.0, 2281.0)	(27.0, 2326.0)	(28.0, 2503.0)	(29.0, 2665.0)	(30.0, 2899.0)	(31.0, 3187.0)	(32.0, 3893.0)	(33.0, 4754.0)	(34.0, 5781.0)	(35.0, 7546.0)	(36.0, 11007.0)	(37.0, 17596.0)	(38.0, 44477.0)	(39.0, 774255.0)	(40.0, 120912.0)												
122022_BEL_CBC_T1_136_OANN_S66_R2_16S	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 36.0)	(16.0, 198.0)	(17.0, 724.0)	(18.0, 595.0)	(19.0, 594.0)	(20.0, 547.0)	(21.0, 676.0)	(22.0, 939.0)	(23.0, 922.0)	(24.0, 2029.0)	(25.0, 1971.0)	(26.0, 1596.0)	(27.0, 1620.0)	(28.0, 1774.0)	(29.0, 1816.0)	(30.0, 2130.0)	(31.0, 2273.0)	(32.0, 2840.0)	(33.0, 3334.0)	(34.0, 4077.0)	(35.0, 5334.0)	(36.0, 7709.0)	(37.0, 11746.0)	(38.0, 27623.0)	(39.0, 481957.0)	(40.0, 103755.0)								
122022_BEL_CBC_T1_139_PAST_S18_R2_16S	(11.0, 1.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 2.0)	(15.0, 17.0)	(16.0, 162.0)	(17.0, 371.0)	(18.0, 450.0)	(19.0, 658.0)	(20.0, 606.0)	(21.0, 553.0)	(22.0, 523.0)	(23.0, 546.0)	(24.0, 546.0)	(25.0, 587.0)	(26.0, 625.0)	(27.0, 742.0)	(28.0, 873.0)	(29.0, 1066.0)	(30.0, 1111.0)	(31.0, 1303.0)	(32.0, 1638.0)	(33.0, 2080.0)	(34.0, 2519.0)	(35.0, 3376.0)	(36.0, 4706.0)	(37.0, 7246.0)	(38.0, 18240.0)	(39.0, 309237.0)	(40.0, 13864.0)									
122022_BEL_CBC_T2_101_OFAV_S50_R2_16S	(10.0, 1.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 12.0)	(15.0, 119.0)	(16.0, 705.0)	(17.0, 1820.0)	(18.0, 2891.0)	(19.0, 3851.0)	(20.0, 3681.0)	(21.0, 3549.0)	(22.0, 3866.0)	(23.0, 3558.0)	(24.0, 5453.0)	(25.0, 5844.0)	(26.0, 5324.0)	(27.0, 5953.0)	(28.0, 6680.0)	(29.0, 7704.0)	(30.0, 9281.0)	(31.0, 11219.0)	(32.0, 15100.0)	(33.0, 19445.0)	(34.0, 24214.0)	(35.0, 27267.0)	(36.0, 33127.0)	(37.0, 48610.0)	(38.0, 113686.0)	(39.0, 1596140.0)	(40.0, 208468.0)								
122022_BEL_CBC_T2_102_OFAV_S27_R2_16S	(14.0, 1.0)	(15.0, 47.0)	(16.0, 312.0)	(17.0, 939.0)	(18.0, 918.0)	(19.0, 1039.0)	(20.0, 902.0)	(21.0, 997.0)	(22.0, 1434.0)	(23.0, 1324.0)	(24.0, 2670.0)	(25.0, 2431.0)	(26.0, 1861.0)	(27.0, 2018.0)	(28.0, 2197.0)	(29.0, 2291.0)	(30.0, 2539.0)	(31.0, 2865.0)	(32.0, 3421.0)	(33.0, 4380.0)	(34.0, 5466.0)	(35.0, 7096.0)	(36.0, 9856.0)	(37.0, 15503.0)	(38.0, 35428.0)	(39.0, 623958.0)	(40.0, 90282.0)												
122022_BEL_CBC_T2_116_PSTR_S32_R2_16S	(14.0, 11.0)	(15.0, 78.0)	(16.0, 487.0)	(17.0, 1397.0)	(18.0, 1644.0)	(19.0, 1929.0)	(20.0, 1838.0)	(21.0, 1829.0)	(22.0, 1999.0)	(23.0, 1764.0)	(24.0, 2374.0)	(25.0, 2632.0)	(26.0, 2396.0)	(27.0, 2656.0)	(28.0, 2953.0)	(29.0, 3352.0)	(30.0, 3967.0)	(31.0, 4605.0)	(32.0, 5962.0)	(33.0, 7652.0)	(34.0, 9226.0)	(35.0, 11533.0)	(36.0, 15566.0)	(37.0, 24476.0)	(38.0, 61030.0)	(39.0, 943411.0)	(40.0, 157171.0)												
122022_BEL_CBC_T2_117_PSTR_S56_R2_16S	(14.0, 7.0)	(15.0, 67.0)	(16.0, 332.0)	(17.0, 1195.0)	(18.0, 1603.0)	(19.0, 2041.0)	(20.0, 1856.0)	(21.0, 1911.0)	(22.0, 2096.0)	(23.0, 1807.0)	(24.0, 2784.0)	(25.0, 3041.0)	(26.0, 2541.0)	(27.0, 2649.0)	(28.0, 2858.0)	(29.0, 3041.0)	(30.0, 3503.0)	(31.0, 4123.0)	(32.0, 5056.0)	(33.0, 6374.0)	(34.0, 7754.0)	(35.0, 9579.0)	(36.0, 13192.0)	(37.0, 20786.0)	(38.0, 48690.0)	(39.0, 793546.0)	(40.0, 199585.0)												
122022_BEL_CBC_T2_119_OANN_S5_R2_16S	(14.0, 2.0)	(15.0, 12.0)	(16.0, 170.0)	(17.0, 406.0)	(18.0, 522.0)	(19.0, 622.0)	(20.0, 520.0)	(21.0, 660.0)	(22.0, 871.0)	(23.0, 729.0)	(24.0, 1490.0)	(25.0, 1505.0)	(26.0, 1151.0)	(27.0, 1180.0)	(28.0, 1368.0)	(29.0, 1472.0)	(30.0, 1637.0)	(31.0, 1828.0)	(32.0, 2167.0)	(33.0, 2711.0)	(34.0, 3498.0)	(35.0, 4515.0)	(36.0, 6258.0)	(37.0, 9881.0)	(38.0, 22964.0)	(39.0, 423903.0)	(40.0, 84015.0)												
122022_BEL_CBC_T2_89_PAST_S17_R2_16S	(14.0, 1.0)	(15.0, 31.0)	(16.0, 227.0)	(17.0, 607.0)	(18.0, 782.0)	(19.0, 1226.0)	(20.0, 1000.0)	(21.0, 954.0)	(22.0, 942.0)	(23.0, 885.0)	(24.0, 913.0)	(25.0, 984.0)	(26.0, 1141.0)	(27.0, 1255.0)	(28.0, 1549.0)	(29.0, 1764.0)	(30.0, 2055.0)	(31.0, 2362.0)	(32.0, 2949.0)	(33.0, 3628.0)	(34.0, 4602.0)	(35.0, 6049.0)	(36.0, 8125.0)	(37.0, 12989.0)	(38.0, 31799.0)	(39.0, 549858.0)	(40.0, 19118.0)												
122022_BEL_CBC_T3_121_OFAV_S73_R2_16S	(15.0, 16.0)	(16.0, 174.0)	(17.0, 446.0)	(18.0, 422.0)	(19.0, 359.0)	(20.0, 380.0)	(21.0, 510.0)	(22.0, 848.0)	(23.0, 728.0)	(24.0, 1671.0)	(25.0, 1617.0)	(26.0, 1285.0)	(27.0, 1412.0)	(28.0, 1463.0)	(29.0, 1531.0)	(30.0, 1860.0)	(31.0, 2266.0)	(32.0, 2769.0)	(33.0, 3547.0)	(34.0, 4397.0)	(35.0, 5457.0)	(36.0, 7080.0)	(37.0, 11050.0)	(38.0, 26174.0)	(39.0, 474042.0)	(40.0, 123915.0)													
122022_BEL_CBC_T4_12_PSTR_S86_R2_16S	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 34.0)	(16.0, 230.0)	(17.0, 580.0)	(18.0, 784.0)	(19.0, 837.0)	(20.0, 761.0)	(21.0, 797.0)	(22.0, 855.0)	(23.0, 815.0)	(24.0, 1064.0)	(25.0, 1112.0)	(26.0, 1156.0)	(27.0, 1280.0)	(28.0, 1484.0)	(29.0, 1603.0)	(30.0, 1832.0)	(31.0, 2118.0)	(32.0, 2489.0)	(33.0, 3100.0)	(34.0, 3866.0)	(35.0, 4887.0)	(36.0, 7147.0)	(37.0, 11997.0)	(38.0, 33295.0)	(39.0, 457112.0)	(40.0, 66218.0)									
122022_BEL_CBC_T4_13_PSTR_S49_R2_16S	(14.0, 13.0)	(15.0, 122.0)	(16.0, 802.0)	(17.0, 2217.0)	(18.0, 3322.0)	(19.0, 3892.0)	(20.0, 3729.0)	(21.0, 3811.0)	(22.0, 4104.0)	(23.0, 3589.0)	(24.0, 5019.0)	(25.0, 5562.0)	(26.0, 4952.0)	(27.0, 5283.0)	(28.0, 5860.0)	(29.0, 6508.0)	(30.0, 7266.0)	(31.0, 8320.0)	(32.0, 10215.0)	(33.0, 12428.0)	(34.0, 15605.0)	(35.0, 20253.0)	(36.0, 29387.0)	(37.0, 46692.0)	(38.0, 120057.0)	(39.0, 1960462.0)	(40.0, 310827.0)												
122022_BEL_CBC_T4_14_MCAV_S38_R2_16S	(11.0, 1.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 5.0)	(15.0, 34.0)	(16.0, 284.0)	(17.0, 827.0)	(18.0, 1153.0)	(19.0, 1513.0)	(20.0, 1566.0)	(21.0, 1499.0)	(22.0, 1588.0)	(23.0, 1468.0)	(24.0, 2233.0)	(25.0, 1926.0)	(26.0, 1932.0)	(27.0, 2238.0)	(28.0, 2519.0)	(29.0, 2685.0)	(30.0, 3173.0)	(31.0, 3860.0)	(32.0, 4950.0)	(33.0, 6418.0)	(34.0, 8145.0)	(35.0, 10317.0)	(36.0, 13480.0)	(37.0, 20345.0)	(38.0, 60612.0)	(39.0, 642133.0)	(40.0, 115772.0)									
122022_BEL_CBC_T4_15_MCAV_S2_R2_16S	(9.0, 1.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 16.0)	(16.0, 134.0)	(17.0, 343.0)	(18.0, 399.0)	(19.0, 419.0)	(20.0, 375.0)	(21.0, 443.0)	(22.0, 520.0)	(23.0, 468.0)	(24.0, 857.0)	(25.0, 637.0)	(26.0, 656.0)	(27.0, 667.0)	(28.0, 828.0)	(29.0, 862.0)	(30.0, 946.0)	(31.0, 1067.0)	(32.0, 1294.0)	(33.0, 1535.0)	(34.0, 2035.0)	(35.0, 2670.0)	(36.0, 3762.0)	(37.0, 5981.0)	(38.0, 15177.0)	(39.0, 248431.0)	(40.0, 64979.0)							
122022_BEL_CBC_T4_35_PSTR_S87_R2_16S	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 43.0)	(16.0, 312.0)	(17.0, 819.0)	(18.0, 1130.0)	(19.0, 1108.0)	(20.0, 1068.0)	(21.0, 1051.0)	(22.0, 1169.0)	(23.0, 1100.0)	(24.0, 1428.0)	(25.0, 1515.0)	(26.0, 1605.0)	(27.0, 1658.0)	(28.0, 1854.0)	(29.0, 2148.0)	(30.0, 2345.0)	(31.0, 2780.0)	(32.0, 3278.0)	(33.0, 4163.0)	(34.0, 5143.0)	(35.0, 6686.0)	(36.0, 9638.0)	(37.0, 15111.0)	(38.0, 40198.0)	(39.0, 602699.0)	(40.0, 81586.0)								
122022_BEL_CBC_T4_3_MCAV_S84_R2_16S	(15.0, 19.0)	(16.0, 140.0)	(17.0, 373.0)	(18.0, 403.0)	(19.0, 436.0)	(20.0, 417.0)	(21.0, 531.0)	(22.0, 571.0)	(23.0, 480.0)	(24.0, 823.0)	(25.0, 673.0)	(26.0, 729.0)	(27.0, 791.0)	(28.0, 918.0)	(29.0, 1010.0)	(30.0, 1186.0)	(31.0, 1424.0)	(32.0, 1785.0)	(33.0, 2260.0)	(34.0, 2593.0)	(35.0, 3622.0)	(36.0, 4911.0)	(37.0, 7870.0)	(38.0, 21411.0)	(39.0, 314505.0)	(40.0, 58463.0)													
122022_BEL_CBC_T4_4_PSTR_S41_R2_16S	(14.0, 1.0)	(15.0, 23.0)	(16.0, 135.0)	(17.0, 503.0)	(18.0, 616.0)	(19.0, 845.0)	(20.0, 827.0)	(21.0, 860.0)	(22.0, 1018.0)	(23.0, 859.0)	(24.0, 1431.0)	(25.0, 1561.0)	(26.0, 1308.0)	(27.0, 1484.0)	(28.0, 1536.0)	(29.0, 1770.0)	(30.0, 2056.0)	(31.0, 2615.0)	(32.0, 3526.0)	(33.0, 4582.0)	(34.0, 5364.0)	(35.0, 6046.0)	(36.0, 7618.0)	(37.0, 12266.0)	(38.0, 27507.0)	(39.0, 410606.0)	(40.0, 119445.0)												
122023_BEL_CBC_T2_517_SSID_S59_R2_16S	(13.0, 1.0)	(14.0, 11.0)	(15.0, 137.0)	(16.0, 1008.0)	(17.0, 2232.0)	(18.0, 3096.0)	(19.0, 4754.0)	(20.0, 4707.0)	(21.0, 4497.0)	(22.0, 4661.0)	(23.0, 4748.0)	(24.0, 5993.0)	(25.0, 6305.0)	(26.0, 6988.0)	(27.0, 8251.0)	(28.0, 9893.0)	(29.0, 12265.0)	(30.0, 16387.0)	(31.0, 22506.0)	(32.0, 33965.0)	(33.0, 46167.0)	(34.0, 54302.0)	(35.0, 54388.0)	(36.0, 57816.0)	(37.0, 83798.0)	(38.0, 176539.0)	(39.0, 1655468.0)	(40.0, 216187.0)											
122023_BEL_CBC_T2_519_PAST_S90_R2_16S	(14.0, 3.0)	(15.0, 23.0)	(16.0, 286.0)	(17.0, 672.0)	(18.0, 998.0)	(19.0, 1753.0)	(20.0, 1546.0)	(21.0, 1252.0)	(22.0, 1153.0)	(23.0, 1148.0)	(24.0, 1251.0)	(25.0, 1314.0)	(26.0, 1451.0)	(27.0, 1572.0)	(28.0, 1835.0)	(29.0, 2080.0)	(30.0, 2418.0)	(31.0, 2934.0)	(32.0, 3496.0)	(33.0, 4357.0)	(34.0, 5451.0)	(35.0, 6891.0)	(36.0, 9499.0)	(37.0, 15545.0)	(38.0, 39407.0)	(39.0, 584512.0)	(40.0, 9997.0)												
122023_BEL_CBC_T4_538_OFAV_S45_R2_16S	(14.0, 2.0)	(15.0, 7.0)	(16.0, 103.0)	(17.0, 287.0)	(18.0, 352.0)	(19.0, 487.0)	(20.0, 522.0)	(21.0, 518.0)	(22.0, 617.0)	(23.0, 555.0)	(24.0, 849.0)	(25.0, 1040.0)	(26.0, 834.0)	(27.0, 863.0)	(28.0, 972.0)	(29.0, 1008.0)	(30.0, 1133.0)	(31.0, 1224.0)	(32.0, 1495.0)	(33.0, 1824.0)	(34.0, 2249.0)	(35.0, 2870.0)	(36.0, 4086.0)	(37.0, 6864.0)	(38.0, 16787.0)	(39.0, 290076.0)	(40.0, 52399.0)												
Negative_S96_R2_16S	(15.0, 3.0)	(16.0, 40.0)	(17.0, 108.0)	(18.0, 120.0)	(19.0, 119.0)	(20.0, 94.0)	(21.0, 66.0)	(22.0, 63.0)	(23.0, 75.0)	(24.0, 86.0)	(25.0, 78.0)	(26.0, 79.0)	(27.0, 102.0)	(28.0, 96.0)	(29.0, 126.0)	(30.0, 139.0)	(31.0, 172.0)	(32.0, 185.0)	(33.0, 258.0)	(34.0, 279.0)	(35.0, 356.0)	(36.0, 512.0)	(37.0, 775.0)	(38.0, 1926.0)	(39.0, 17882.0)	(40.0, 2014.0)													
Undetermined_S0_R2_16S	(2.0, 45964.0)	(3.0, 6004.0)	(4.0, 3969.0)	(5.0, 2562.0)	(6.0, 1860.0)	(7.0, 1722.0)	(8.0, 1834.0)	(9.0, 1637.0)	(10.0, 1463.0)	(11.0, 1223.0)	(12.0, 1216.0)	(13.0, 1229.0)	(14.0, 1700.0)	(15.0, 7653.0)	(16.0, 31560.0)	(17.0, 82288.0)	(18.0, 130965.0)	(19.0, 139481.0)	(20.0, 56915.0)	(21.0, 35444.0)	(22.0, 33157.0)	(23.0, 44714.0)	(24.0, 87827.0)	(25.0, 53401.0)	(26.0, 46244.0)	(27.0, 45834.0)	(28.0, 47588.0)	(29.0, 50048.0)	(30.0, 54892.0)	(31.0, 61762.0)	(32.0, 71505.0)	(33.0, 84235.0)	(34.0, 97541.0)	(35.0, 111476.0)	(36.0, 134586.0)	(37.0, 186098.0)	(38.0, 453682.0)	(39.0, 3610431.0)	(40.0, 465304.0)
