Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
052022_BEL_CBC_T1_13_MCAV_S75_R2_16S	(14.0, 1.0)	(15.0, 18.0)	(16.0, 144.0)	(17.0, 433.0)	(18.0, 364.0)	(19.0, 344.0)	(20.0, 287.0)	(21.0, 490.0)	(22.0, 618.0)	(23.0, 526.0)	(24.0, 1152.0)	(25.0, 910.0)	(26.0, 792.0)	(27.0, 888.0)	(28.0, 1043.0)	(29.0, 1045.0)	(30.0, 1329.0)	(31.0, 1550.0)	(32.0, 2192.0)	(33.0, 2759.0)	(34.0, 3295.0)	(35.0, 4095.0)	(36.0, 5324.0)	(37.0, 8228.0)	(38.0, 20138.0)	(39.0, 321345.0)	(40.0, 115113.0)												
052022_BEL_CBC_T1_39_MCAV_S77_R2_16S	(14.0, 4.0)	(15.0, 29.0)	(16.0, 281.0)	(17.0, 760.0)	(18.0, 705.0)	(19.0, 751.0)	(20.0, 734.0)	(21.0, 1115.0)	(22.0, 1299.0)	(23.0, 1231.0)	(24.0, 2445.0)	(25.0, 1720.0)	(26.0, 1556.0)	(27.0, 1738.0)	(28.0, 1986.0)	(29.0, 2145.0)	(30.0, 2400.0)	(31.0, 2860.0)	(32.0, 3750.0)	(33.0, 4519.0)	(34.0, 5867.0)	(35.0, 7456.0)	(36.0, 10395.0)	(37.0, 16083.0)	(38.0, 37318.0)	(39.0, 709656.0)	(40.0, 297757.0)												
052022_BEL_CBC_T1_40_MCAV_S46_R2_16S	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 13.0)	(16.0, 98.0)	(17.0, 323.0)	(18.0, 383.0)	(19.0, 545.0)	(20.0, 580.0)	(21.0, 664.0)	(22.0, 687.0)	(23.0, 619.0)	(24.0, 1225.0)	(25.0, 973.0)	(26.0, 824.0)	(27.0, 830.0)	(28.0, 904.0)	(29.0, 1098.0)	(30.0, 1201.0)	(31.0, 1335.0)	(32.0, 1605.0)	(33.0, 2013.0)	(34.0, 2561.0)	(35.0, 3398.0)	(36.0, 4853.0)	(37.0, 8004.0)	(38.0, 25137.0)	(39.0, 285383.0)	(40.0, 76607.0)									
052022_BEL_CBC_T1_41_OANN_S4_R2_16S	(15.0, 13.0)	(16.0, 111.0)	(17.0, 359.0)	(18.0, 491.0)	(19.0, 552.0)	(20.0, 510.0)	(21.0, 578.0)	(22.0, 850.0)	(23.0, 704.0)	(24.0, 1414.0)	(25.0, 1349.0)	(26.0, 1076.0)	(27.0, 1085.0)	(28.0, 1275.0)	(29.0, 1337.0)	(30.0, 1566.0)	(31.0, 1770.0)	(32.0, 2069.0)	(33.0, 2592.0)	(34.0, 3110.0)	(35.0, 4137.0)	(36.0, 5813.0)	(37.0, 9097.0)	(38.0, 21364.0)	(39.0, 397683.0)	(40.0, 77600.0)													
052022_BEL_CBC_T1_52_PAST_S30_R2_16S	(12.0, 1.0)	(13.0, 0.0)	(14.0, 9.0)	(15.0, 55.0)	(16.0, 539.0)	(17.0, 1481.0)	(18.0, 2166.0)	(19.0, 2567.0)	(20.0, 2131.0)	(21.0, 1853.0)	(22.0, 1902.0)	(23.0, 2011.0)	(24.0, 2164.0)	(25.0, 2453.0)	(26.0, 2805.0)	(27.0, 3319.0)	(28.0, 3822.0)	(29.0, 4481.0)	(30.0, 5573.0)	(31.0, 7032.0)	(32.0, 9522.0)	(33.0, 12711.0)	(34.0, 16470.0)	(35.0, 20975.0)	(36.0, 24773.0)	(37.0, 32681.0)	(38.0, 85035.0)	(39.0, 708292.0)	(40.0, 28966.0)										
052022_BEL_CBC_T1_60_MCAV_S92_R2_16S	(15.0, 10.0)	(16.0, 111.0)	(17.0, 289.0)	(18.0, 365.0)	(19.0, 378.0)	(20.0, 318.0)	(21.0, 496.0)	(22.0, 589.0)	(23.0, 516.0)	(24.0, 1057.0)	(25.0, 753.0)	(26.0, 646.0)	(27.0, 697.0)	(28.0, 821.0)	(29.0, 826.0)	(30.0, 984.0)	(31.0, 1089.0)	(32.0, 1413.0)	(33.0, 1756.0)	(34.0, 2224.0)	(35.0, 2910.0)	(36.0, 4247.0)	(37.0, 6774.0)	(38.0, 16096.0)	(39.0, 319413.0)	(40.0, 108310.0)													
052022_BEL_CBC_T1_70_MCAV_S36_R2_16S	(15.0, 10.0)	(16.0, 109.0)	(17.0, 306.0)	(18.0, 345.0)	(19.0, 512.0)	(20.0, 518.0)	(21.0, 644.0)	(22.0, 762.0)	(23.0, 636.0)	(24.0, 1161.0)	(25.0, 1046.0)	(26.0, 878.0)	(27.0, 897.0)	(28.0, 963.0)	(29.0, 1135.0)	(30.0, 1227.0)	(31.0, 1430.0)	(32.0, 1739.0)	(33.0, 2077.0)	(34.0, 2739.0)	(35.0, 3611.0)	(36.0, 5603.0)	(37.0, 9797.0)	(38.0, 29013.0)	(39.0, 351015.0)	(40.0, 38885.0)													
052022_BEL_CBC_T2_45_PSTR_S31_R2_16S	(13.0, 1.0)	(14.0, 7.0)	(15.0, 125.0)	(16.0, 1051.0)	(17.0, 3176.0)	(18.0, 4861.0)	(19.0, 4800.0)	(20.0, 3629.0)	(21.0, 3719.0)	(22.0, 4797.0)	(23.0, 4154.0)	(24.0, 6300.0)	(25.0, 6882.0)	(26.0, 5977.0)	(27.0, 6679.0)	(28.0, 7638.0)	(29.0, 8691.0)	(30.0, 10249.0)	(31.0, 13029.0)	(32.0, 16647.0)	(33.0, 20289.0)	(34.0, 23678.0)	(35.0, 28098.0)	(36.0, 36289.0)	(37.0, 56085.0)	(38.0, 128960.0)	(39.0, 1948782.0)	(40.0, 510209.0)											
052022_BEL_CBC_T2_46_PSTR_S68_R2_16S	(14.0, 1.0)	(15.0, 26.0)	(16.0, 194.0)	(17.0, 629.0)	(18.0, 678.0)	(19.0, 606.0)	(20.0, 610.0)	(21.0, 733.0)	(22.0, 848.0)	(23.0, 810.0)	(24.0, 1351.0)	(25.0, 1369.0)	(26.0, 1262.0)	(27.0, 1314.0)	(28.0, 1495.0)	(29.0, 1716.0)	(30.0, 2082.0)	(31.0, 2509.0)	(32.0, 3169.0)	(33.0, 3857.0)	(34.0, 4621.0)	(35.0, 5474.0)	(36.0, 7539.0)	(37.0, 11572.0)	(38.0, 26045.0)	(39.0, 445874.0)	(40.0, 117831.0)												
052022_BEL_CBC_T3_50_MCAV_S47_R2_16S	(10.0, 1.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 17.0)	(16.0, 125.0)	(17.0, 224.0)	(18.0, 323.0)	(19.0, 379.0)	(20.0, 405.0)	(21.0, 383.0)	(22.0, 403.0)	(23.0, 390.0)	(24.0, 527.0)	(25.0, 531.0)	(26.0, 470.0)	(27.0, 546.0)	(28.0, 634.0)	(29.0, 645.0)	(30.0, 830.0)	(31.0, 930.0)	(32.0, 1092.0)	(33.0, 1379.0)	(34.0, 1850.0)	(35.0, 2293.0)	(36.0, 3401.0)	(37.0, 5588.0)	(38.0, 15212.0)	(39.0, 225826.0)	(40.0, 24520.0)								
