Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
052022_BEL_CBC_T3_54_PAST_S93_R2_16S	052022_BEL_CBC_T3_54_PAST_S93_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	584926.0	134.2 Mbp	0.0	200-251	43.0	2.473304315417677	229.04044101305124	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022_BEL_CBC_T3_60_MCAV_S80_R2_16S	052022_BEL_CBC_T3_60_MCAV_S80_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	951469.0	218.7 Mbp	0.0	199-251	36.0	1.764849932052437	229.37369320492837	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T1_18_PAST_S42_R2_16S	062019_BEL_CBC_T1_18_PAST_S42_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	334171.0	78 Mbp	0.0	209-251	49.0	3.9976538957599552	233.7044746551915	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T1_1_PAST_S7_R2_16S	062019_BEL_CBC_T1_1_PAST_S7_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	474918.0	108.8 Mbp	0.0	193-251	45.0	4.126396556879293	229.56611667698425	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T1_24_MCAV_S69_R2_16S	062019_BEL_CBC_T1_24_MCAV_S69_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	599612.0	137.5 Mbp	0.0	198-251	35.0	1.7204458883411273	228.93388391159615	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T1_3_MCAV_S23_R2_16S	062019_BEL_CBC_T1_3_MCAV_S23_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	470257.0	107.6 Mbp	0.0	184-251	36.0	3.3439161990145814	229.2671549812124	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T1_6_MCAV_S9_R2_16S	062019_BEL_CBC_T1_6_MCAV_S9_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1695129.0	386.9 Mbp	0.0	194-251	35.0	1.7438790794092958	228.75078681327497	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T1_8_PAST_S29_R2_16S	062019_BEL_CBC_T1_8_PAST_S29_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	320913.0	73.8 Mbp	0.0	201-251	46.0	6.774110117072228	230.6371212758598	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T1_9_MCAV_S76_R2_16S	062019_BEL_CBC_T1_9_MCAV_S76_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	704170.0	161.5 Mbp	0.0	197-251	35.0	1.6461933908005169	228.98338043370208	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T2_22_PAST_S60_R2_16S	062019_BEL_CBC_T2_22_PAST_S60_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1178586.0	274.9 Mbp	0.0	204-251	51.0	1.9738058996119079	233.2574109992822	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T2_5_MCAV_S20_R2_16S	062019_BEL_CBC_T2_5_MCAV_S20_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	263535.0	60.4 Mbp	0.0	205-251	38.0	4.819473694196217	229.2146318325839	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T3_11_MCAV_S13_R2_16S	062019_BEL_CBC_T3_11_MCAV_S13_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	367142.0	84.1 Mbp	0.0	205-251	36.0	4.339465383965877	229.0987710477145	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019_BEL_CBC_T3_14_MCAV_S33_R2_16S	062019_BEL_CBC_T3_14_MCAV_S33_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	749555.0	174.6 Mbp	0.0	202-251	39.0	1.8601703677515327	232.5527939911014	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T1_1356_PAST_S37_R2_16S	062024_BEL_CBC_T1_1356_PAST_S37_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1515175.0	350.7 Mbp	0.0	199-251	48.0	2.6574488095434523	230.9875766825614	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T2_1372_OFAV_S67_R2_16S	062024_BEL_CBC_T2_1372_OFAV_S67_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	758744.0	173.9 Mbp	0.0	195-251	37.0	1.8829802937486162	228.72488480963275	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T2_1384_MCAV_S91_R2_16S	062024_BEL_CBC_T2_1384_MCAV_S91_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	217924.0	49.9 Mbp	0.0	214-251	39.0	3.24700354251941	229.22894678878876	229	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T2_1393_PAST_S55_R2_16S	062024_BEL_CBC_T2_1393_PAST_S55_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	966697.0	223.6 Mbp	0.0	204-251	47.0	2.6540891303066005	231.33876488703285	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T2_1399_PAST_S44_R2_16S	062024_BEL_CBC_T2_1399_PAST_S44_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	549488.0	127.2 Mbp	0.0	206-251	45.0	2.3776679381533357	231.52816440031447	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T2_1402_MCAV_S95_R2_16S	062024_BEL_CBC_T2_1402_MCAV_S95_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	222257.0	50.9 Mbp	0.0	200-251	36.0	2.0737254619652026	228.74048736372757	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T3_1418_SSID_S21_R2_16S	062024_BEL_CBC_T3_1418_SSID_S21_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	324862.0	74.3 Mbp	0.0	207-251	47.0	6.652055334265011	228.96806336228923	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024_BEL_CBC_T4_1458_MCAV_S58_R2_16S	062024_BEL_CBC_T4_1458_MCAV_S58_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2923563.0	675.8 Mbp	0.0	191-251	34.0	0.9632766593365698	230.68721265797933	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024_BEL_CBC_T2_1517_MCAV_S28_R2_16S	082024_BEL_CBC_T2_1517_MCAV_S28_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	805684.0	183.8 Mbp	0.0	201-251	34.0	1.367037200689104	228.67455478822964	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024_BEL_CBC_T3_1559_PSTR_S74_R2_16S	082024_BEL_CBC_T3_1559_PSTR_S74_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	647116.0	148.3 Mbp	0.0	197-251	37.0	1.9245390316419313	228.8095982791339	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024_BEL_CBC_T3_1564_PAST_S48_R2_16S	082024_BEL_CBC_T3_1564_PAST_S48_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	646781.0	149.9 Mbp	0.0	206-251	49.0	4.115457937076074	231.77756303911215	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024_BEL_CBC_T4_1608_MCAV_S11_R2_16S	082024_BEL_CBC_T4_1608_MCAV_S11_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	767169.0	175 Mbp	0.0	202-251	34.0	1.4144210728014297	228.66745984261615	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T1_188_SSID_S3_R2_16S	092023_BEL_CBC_T1_188_SSID_S3_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	391931.0	90.2 Mbp	0.0	207-251	50.0	6.77721333602088	230.2096644562436	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T1_194_SSID_S39_R2_16S	092023_BEL_CBC_T1_194_SSID_S39_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	478283.0	112 Mbp	0.0	207-251	54.0	2.954108759876475	234.22776891505657	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T2_173_SSID_S14_R2_16S	092023_BEL_CBC_T2_173_SSID_S14_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1172893.0	268.7 Mbp	0.0	206-251	45.0	5.0464108831751915	229.10759634510566	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T2_192_OFAV_S64_R2_16S	092023_BEL_CBC_T2_192_OFAV_S64_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	832365.0	190.2 Mbp	0.0	192-251	37.0	2.4526499792759187	228.9796525562704	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T2_196_SSID_S63_R2_16S	092023_BEL_CBC_T2_196_SSID_S63_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1305284.0	300.2 Mbp	0.0	198-251	46.0	4.450066039268083	230.4124972036737	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T3_172_PSTR_S57_R2_16S	092023_BEL_CBC_T3_172_PSTR_S57_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	717828.0	166 Mbp	0.0	202-251	55.0	4.965952846642929	230.8053210518397	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
092023_BEL_CBC_T3_183_SSID_S79_R2_16S	092023_BEL_CBC_T3_183_SSID_S79_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	602839.0	138.3 Mbp	0.0	203-251	48.0	4.624451968104253	229.4434998399241	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T3_196_SSID_S25_R2_16S	092023_BEL_CBC_T3_196_SSID_S25_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	534731.0	123.1 Mbp	0.0	200-251	47.0	7.321812275704981	230.7491645331952	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T4_84_OANN_S12_R2_16S	092023_BEL_CBC_T4_84_OANN_S12_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	183532.0	41.9 Mbp	0.0	212-251	36.0	3.5361680796809276	228.4986596342872	228	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T4_88_OFAV_S71_R2_16S	092023_BEL_CBC_T4_88_OFAV_S71_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	715640.0	164.1 Mbp	0.0	196-251	36.0	1.861690235313845	228.8454250740596	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023_BEL_CBC_T4_91_MCAV_S78_R2_16S	092023_BEL_CBC_T4_91_MCAV_S78_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1092161.0	250.3 Mbp	0.0	198-251	40.0	1.9702223390141198	228.71702111685	228	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019_BEL_CBC_T1_25_PSTR_S65_R2_16S	102019_BEL_CBC_T1_25_PSTR_S65_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	949013.0	217.6 Mbp	0.0	197-251	36.0	1.4719503315549947	228.82973415538038	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019_BEL_CBC_T1_27_PSTR_S88_R2_16S	102019_BEL_CBC_T1_27_PSTR_S88_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	600524.0	137.6 Mbp	0.0	197-251	35.0	1.496359845734725	228.7722955285717	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019_BEL_CBC_T1_28_PSTR_S19_R2_16S	102019_BEL_CBC_T1_28_PSTR_S19_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	520846.0	119.4 Mbp	0.0	195-251	39.0	4.044381640638499	229.68128583112858	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019_BEL_CBC_T1_31_PSTR_S22_R2_16S	102019_BEL_CBC_T1_31_PSTR_S22_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	597313.0	136.7 Mbp	0.0	198-251	37.0	3.463008506427953	229.3384615770961	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019_BEL_CBC_T2_33_PSTR_S72_R2_16S	102019_BEL_CBC_T2_33_PSTR_S72_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2766725.0	634.4 Mbp	0.0	197-251	35.0	1.0077257407223341	228.8092081793456	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019_BEL_CBC_T3_36_PSTR_S83_R2_16S	102019_BEL_CBC_T3_36_PSTR_S83_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1741067.0	399.1 Mbp	0.0	198-251	35.0	1.0704355432616897	228.7441548774401	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023_BEL_CBC_T2_308_PAST_S62_R2_16S	112023_BEL_CBC_T2_308_PAST_S62_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	617463.0	143.3 Mbp	0.0	207-251	43.0	2.6325464035901747	232.11424328259346	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023_BEL_CBC_T3_347_MCAV_S81_R2_16S	112023_BEL_CBC_T3_347_MCAV_S81_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	525186.0	120.3 Mbp	0.0	202-251	37.0	2.064982691846317	228.6955193017331	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
