Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
042024-BEL-CBC-T2-1026-OFAV_S91_R1_16S	(16.0, 17.0)	(17.0, 118.0)	(18.0, 211.0)	(19.0, 214.0)	(20.0, 231.0)	(21.0, 237.0)	(22.0, 351.0)	(23.0, 418.0)	(24.0, 479.0)	(25.0, 583.0)	(26.0, 556.0)	(27.0, 716.0)	(28.0, 1123.0)	(29.0, 1301.0)	(30.0, 1221.0)	(31.0, 1591.0)	(32.0, 1747.0)	(33.0, 2117.0)	(34.0, 2813.0)	(35.0, 4317.0)	(36.0, 7127.0)	(37.0, 11384.0)	(38.0, 28245.0)	(39.0, 482493.0)	(40.0, 102367.0)													
042024-BEL-CBC-T2-1144-MCAV_S3_R1_16S	(16.0, 8.0)	(17.0, 33.0)	(18.0, 81.0)	(19.0, 105.0)	(20.0, 173.0)	(21.0, 172.0)	(22.0, 189.0)	(23.0, 232.0)	(24.0, 329.0)	(25.0, 372.0)	(26.0, 378.0)	(27.0, 438.0)	(28.0, 817.0)	(29.0, 1047.0)	(30.0, 980.0)	(31.0, 1235.0)	(32.0, 1297.0)	(33.0, 1674.0)	(34.0, 2712.0)	(35.0, 11896.0)	(36.0, 15902.0)	(37.0, 5789.0)	(38.0, 12973.0)	(39.0, 290925.0)	(40.0, 20278.0)													
042024-BEL-CBC-T3-960-OFAV_S4_R1_16S	(17.0, 6.0)	(18.0, 13.0)	(19.0, 22.0)	(20.0, 15.0)	(21.0, 26.0)	(22.0, 26.0)	(23.0, 39.0)	(24.0, 46.0)	(25.0, 51.0)	(26.0, 65.0)	(27.0, 77.0)	(28.0, 108.0)	(29.0, 145.0)	(30.0, 171.0)	(31.0, 228.0)	(32.0, 324.0)	(33.0, 495.0)	(34.0, 1325.0)	(35.0, 6917.0)	(36.0, 5641.0)	(37.0, 765.0)	(38.0, 1726.0)	(39.0, 17530.0)	(40.0, 429.0)														
042024-BEL-CBC-T4-1046-PSTR_S60_R1_16S	(16.0, 4.0)	(17.0, 17.0)	(18.0, 41.0)	(19.0, 86.0)	(20.0, 86.0)	(21.0, 85.0)	(22.0, 92.0)	(23.0, 138.0)	(24.0, 188.0)	(25.0, 183.0)	(26.0, 206.0)	(27.0, 242.0)	(28.0, 310.0)	(29.0, 387.0)	(30.0, 418.0)	(31.0, 503.0)	(32.0, 495.0)	(33.0, 628.0)	(34.0, 1025.0)	(35.0, 2836.0)	(36.0, 10856.0)	(37.0, 2262.0)	(38.0, 4282.0)	(39.0, 121855.0)	(40.0, 59538.0)													
042024-BEL-CBC-T4-1047-MCAV_S92_R1_16S	(16.0, 6.0)	(17.0, 45.0)	(18.0, 71.0)	(19.0, 91.0)	(20.0, 119.0)	(21.0, 106.0)	(22.0, 100.0)	(23.0, 136.0)	(24.0, 208.0)	(25.0, 254.0)	(26.0, 208.0)	(27.0, 259.0)	(28.0, 441.0)	(29.0, 597.0)	(30.0, 577.0)	(31.0, 678.0)	(32.0, 772.0)	(33.0, 794.0)	(34.0, 1020.0)	(35.0, 1543.0)	(36.0, 2565.0)	(37.0, 3381.0)	(38.0, 7331.0)	(39.0, 205840.0)	(40.0, 43004.0)													
052022-BEL-CBC-T1-2-SSID_S8_R1_16S	(16.0, 17.0)	(17.0, 49.0)	(18.0, 94.0)	(19.0, 87.0)	(20.0, 116.0)	(21.0, 112.0)	(22.0, 152.0)	(23.0, 176.0)	(24.0, 231.0)	(25.0, 254.0)	(26.0, 250.0)	(27.0, 306.0)	(28.0, 427.0)	(29.0, 545.0)	(30.0, 523.0)	(31.0, 558.0)	(32.0, 687.0)	(33.0, 782.0)	(34.0, 1208.0)	(35.0, 3353.0)	(36.0, 4946.0)	(37.0, 3765.0)	(38.0, 8534.0)	(39.0, 181552.0)	(40.0, 81833.0)													
052022-BEL-CBC-T2-1-SSID_S57_R1_16S	(16.0, 15.0)	(17.0, 76.0)	(18.0, 158.0)	(19.0, 226.0)	(20.0, 247.0)	(21.0, 304.0)	(22.0, 343.0)	(23.0, 406.0)	(24.0, 520.0)	(25.0, 701.0)	(26.0, 695.0)	(27.0, 804.0)	(28.0, 1041.0)	(29.0, 1322.0)	(30.0, 1580.0)	(31.0, 1884.0)	(32.0, 2121.0)	(33.0, 2703.0)	(34.0, 3771.0)	(35.0, 8325.0)	(36.0, 14867.0)	(37.0, 15107.0)	(38.0, 37047.0)	(39.0, 410612.0)	(40.0, 76694.0)													
052022-BEL-CBC-T2-71-OFAV_S21_R1_16S	(16.0, 20.0)	(17.0, 77.0)	(18.0, 178.0)	(19.0, 172.0)	(20.0, 193.0)	(21.0, 213.0)	(22.0, 209.0)	(23.0, 291.0)	(24.0, 356.0)	(25.0, 402.0)	(26.0, 434.0)	(27.0, 467.0)	(28.0, 755.0)	(29.0, 944.0)	(30.0, 823.0)	(31.0, 1128.0)	(32.0, 1196.0)	(33.0, 1488.0)	(34.0, 2138.0)	(35.0, 8320.0)	(36.0, 14074.0)	(37.0, 5987.0)	(38.0, 11669.0)	(39.0, 286727.0)	(40.0, 74328.0)													
052022-BEL-CBC-T2-9-PAST_S23_R1_16S	(15.0, 4.0)	(16.0, 35.0)	(17.0, 156.0)	(18.0, 256.0)	(19.0, 266.0)	(20.0, 317.0)	(21.0, 348.0)	(22.0, 417.0)	(23.0, 542.0)	(24.0, 727.0)	(25.0, 778.0)	(26.0, 788.0)	(27.0, 848.0)	(28.0, 1251.0)	(29.0, 1549.0)	(30.0, 1576.0)	(31.0, 2089.0)	(32.0, 2400.0)	(33.0, 2552.0)	(34.0, 3465.0)	(35.0, 8051.0)	(36.0, 13497.0)	(37.0, 14371.0)	(38.0, 36885.0)	(39.0, 456343.0)	(40.0, 235263.0)												
052022-BEL-CBC-T3-11-PAST_S19_R1_16S	(16.0, 2.0)	(17.0, 27.0)	(18.0, 83.0)	(19.0, 116.0)	(20.0, 120.0)	(21.0, 113.0)	(22.0, 123.0)	(23.0, 152.0)	(24.0, 158.0)	(25.0, 195.0)	(26.0, 213.0)	(27.0, 249.0)	(28.0, 277.0)	(29.0, 390.0)	(30.0, 427.0)	(31.0, 438.0)	(32.0, 564.0)	(33.0, 733.0)	(34.0, 1288.0)	(35.0, 6605.0)	(36.0, 9679.0)	(37.0, 2629.0)	(38.0, 5836.0)	(39.0, 119008.0)	(40.0, 16295.0)													
