Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
122022-BEL-CBC-T3-142-MCAV_S24_R1_16S	(17.0, 5.0)	(18.0, 12.0)	(19.0, 25.0)	(20.0, 35.0)	(21.0, 42.0)	(22.0, 51.0)	(23.0, 59.0)	(24.0, 74.0)	(25.0, 84.0)	(26.0, 75.0)	(27.0, 96.0)	(28.0, 111.0)	(29.0, 121.0)	(30.0, 149.0)	(31.0, 201.0)	(32.0, 295.0)	(33.0, 418.0)	(34.0, 873.0)	(35.0, 4609.0)	(36.0, 23445.0)	(37.0, 1225.0)	(38.0, 300.0)	(39.0, 5972.0)	(40.0, 752.0)														
122023-BEL-CBC-T1-507-PAST_S51_R1_16S	(15.0, 1.0)	(16.0, 18.0)	(17.0, 93.0)	(18.0, 250.0)	(19.0, 296.0)	(20.0, 307.0)	(21.0, 307.0)	(22.0, 324.0)	(23.0, 438.0)	(24.0, 525.0)	(25.0, 503.0)	(26.0, 581.0)	(27.0, 703.0)	(28.0, 954.0)	(29.0, 1131.0)	(30.0, 1261.0)	(31.0, 1540.0)	(32.0, 1911.0)	(33.0, 2484.0)	(34.0, 4136.0)	(35.0, 10994.0)	(36.0, 22509.0)	(37.0, 14523.0)	(38.0, 31931.0)	(39.0, 397227.0)	(40.0, 41416.0)												
122023-BEL-CBC-T1-508-SSID_S75_R1_16S	(15.0, 1.0)	(16.0, 19.0)	(17.0, 97.0)	(18.0, 104.0)	(19.0, 155.0)	(20.0, 190.0)	(21.0, 158.0)	(22.0, 229.0)	(23.0, 331.0)	(24.0, 355.0)	(25.0, 384.0)	(26.0, 412.0)	(27.0, 533.0)	(28.0, 811.0)	(29.0, 863.0)	(30.0, 1192.0)	(31.0, 1531.0)	(32.0, 1977.0)	(33.0, 3059.0)	(34.0, 5166.0)	(35.0, 10493.0)	(36.0, 14141.0)	(37.0, 17802.0)	(38.0, 56558.0)	(39.0, 299123.0)	(40.0, 8797.0)												
122023-BEL-CBC-T2-513-SSID_S45_R1_16S	(16.0, 1.0)	(17.0, 20.0)	(18.0, 32.0)	(19.0, 31.0)	(20.0, 43.0)	(21.0, 55.0)	(22.0, 66.0)	(23.0, 72.0)	(24.0, 120.0)	(25.0, 124.0)	(26.0, 116.0)	(27.0, 165.0)	(28.0, 199.0)	(29.0, 229.0)	(30.0, 271.0)	(31.0, 329.0)	(32.0, 412.0)	(33.0, 586.0)	(34.0, 1140.0)	(35.0, 4922.0)	(36.0, 5001.0)	(37.0, 1945.0)	(38.0, 4454.0)	(39.0, 96224.0)	(40.0, 14811.0)													
122023-BEL-CBC-T2-515-PAST_S73_R1_16S	(15.0, 2.0)	(16.0, 12.0)	(17.0, 70.0)	(18.0, 170.0)	(19.0, 207.0)	(20.0, 181.0)	(21.0, 223.0)	(22.0, 252.0)	(23.0, 276.0)	(24.0, 354.0)	(25.0, 344.0)	(26.0, 409.0)	(27.0, 506.0)	(28.0, 595.0)	(29.0, 816.0)	(30.0, 829.0)	(31.0, 995.0)	(32.0, 1223.0)	(33.0, 1639.0)	(34.0, 2575.0)	(35.0, 6196.0)	(36.0, 12379.0)	(37.0, 7384.0)	(38.0, 19417.0)	(39.0, 284450.0)	(40.0, 17327.0)												
122023-BEL-CBC-T2-518-MCAV_S27_R1_16S	(16.0, 5.0)	(17.0, 27.0)	(18.0, 89.0)	(19.0, 100.0)	(20.0, 104.0)	(21.0, 119.0)	(22.0, 124.0)	(23.0, 158.0)	(24.0, 189.0)	(25.0, 186.0)	(26.0, 213.0)	(27.0, 269.0)	(28.0, 472.0)	(29.0, 667.0)	(30.0, 703.0)	(31.0, 750.0)	(32.0, 870.0)	(33.0, 1135.0)	(34.0, 2523.0)	(35.0, 5353.0)	(36.0, 14253.0)	(37.0, 5646.0)	(38.0, 8871.0)	(39.0, 147324.0)	(40.0, 6194.0)													
122023-BEL-CBC-T2-522-MCAV_S88_R1_16S	(16.0, 28.0)	(17.0, 136.0)	(18.0, 281.0)	(19.0, 317.0)	(20.0, 360.0)	(21.0, 320.0)	(22.0, 398.0)	(23.0, 543.0)	(24.0, 633.0)	(25.0, 746.0)	(26.0, 740.0)	(27.0, 797.0)	(28.0, 1313.0)	(29.0, 1829.0)	(30.0, 1678.0)	(31.0, 2197.0)	(32.0, 2404.0)	(33.0, 2727.0)	(34.0, 3904.0)	(35.0, 11534.0)	(36.0, 18053.0)	(37.0, 10249.0)	(38.0, 21146.0)	(39.0, 582712.0)	(40.0, 98298.0)													
122023-BEL-CBC-T3-524-OFAV_S39_R1_16S	(16.0, 16.0)	(17.0, 86.0)	(18.0, 256.0)	(19.0, 363.0)	(20.0, 383.0)	(21.0, 346.0)	(22.0, 387.0)	(23.0, 455.0)	(24.0, 512.0)	(25.0, 625.0)	(26.0, 647.0)	(27.0, 757.0)	(28.0, 1025.0)	(29.0, 1460.0)	(30.0, 1393.0)	(31.0, 1785.0)	(32.0, 1854.0)	(33.0, 2345.0)	(34.0, 3312.0)	(35.0, 7735.0)	(36.0, 29623.0)	(37.0, 11724.0)	(38.0, 18269.0)	(39.0, 314972.0)	(40.0, 81108.0)													
122023-BEL-CBC-T3-525-PAST_S29_R1_16S	(15.0, 2.0)	(16.0, 29.0)	(17.0, 114.0)	(18.0, 285.0)	(19.0, 376.0)	(20.0, 341.0)	(21.0, 406.0)	(22.0, 435.0)	(23.0, 489.0)	(24.0, 612.0)	(25.0, 706.0)	(26.0, 680.0)	(27.0, 803.0)	(28.0, 1038.0)	(29.0, 1446.0)	(30.0, 1417.0)	(31.0, 1493.0)	(32.0, 1734.0)	(33.0, 2321.0)	(34.0, 3390.0)	(35.0, 7825.0)	(36.0, 28861.0)	(37.0, 15819.0)	(38.0, 19299.0)	(39.0, 451230.0)	(40.0, 98315.0)												
122023-BEL-CBC-T3-526-SSID_S11_R1_16S	(16.0, 4.0)	(17.0, 34.0)	(18.0, 52.0)	(19.0, 67.0)	(20.0, 72.0)	(21.0, 93.0)	(22.0, 92.0)	(23.0, 120.0)	(24.0, 171.0)	(25.0, 175.0)	(26.0, 212.0)	(27.0, 219.0)	(28.0, 324.0)	(29.0, 392.0)	(30.0, 432.0)	(31.0, 574.0)	(32.0, 721.0)	(33.0, 1012.0)	(34.0, 1703.0)	(35.0, 4024.0)	(36.0, 8269.0)	(37.0, 4294.0)	(38.0, 6289.0)	(39.0, 110555.0)	(40.0, 37261.0)													
122023-BEL-CBC-T3-531-PSTR_S28_R1_16S	(15.0, 1.0)	(16.0, 6.0)	(17.0, 36.0)	(18.0, 85.0)	(19.0, 100.0)	(20.0, 113.0)	(21.0, 118.0)	(22.0, 124.0)	(23.0, 166.0)	(24.0, 174.0)	(25.0, 225.0)	(26.0, 246.0)	(27.0, 243.0)	(28.0, 452.0)	(29.0, 554.0)	(30.0, 589.0)	(31.0, 677.0)	(32.0, 722.0)	(33.0, 877.0)	(34.0, 1446.0)	(35.0, 4646.0)	(36.0, 18670.0)	(37.0, 7979.0)	(38.0, 5569.0)	(39.0, 130774.0)	(40.0, 28659.0)												
122023-BEL-CBC-T3-532-MCAV_S52_R1_16S	(16.0, 10.0)	(17.0, 60.0)	(18.0, 116.0)	(19.0, 219.0)	(20.0, 225.0)	(21.0, 234.0)	(22.0, 297.0)	(23.0, 357.0)	(24.0, 421.0)	(25.0, 570.0)	(26.0, 528.0)	(27.0, 557.0)	(28.0, 801.0)	(29.0, 1124.0)	(30.0, 1083.0)	(31.0, 1261.0)	(32.0, 1394.0)	(33.0, 1689.0)	(34.0, 2379.0)	(35.0, 5271.0)	(36.0, 14649.0)	(37.0, 8868.0)	(38.0, 13357.0)	(39.0, 368967.0)	(40.0, 128286.0)													
122023-BEL-CBC-T4-539-MCAV_S44_R1_16S	(16.0, 8.0)	(17.0, 20.0)	(18.0, 31.0)	(19.0, 63.0)	(20.0, 93.0)	(21.0, 104.0)	(22.0, 126.0)	(23.0, 148.0)	(24.0, 198.0)	(25.0, 224.0)	(26.0, 235.0)	(27.0, 293.0)	(28.0, 488.0)	(29.0, 634.0)	(30.0, 642.0)	(31.0, 836.0)	(32.0, 857.0)	(33.0, 1021.0)	(34.0, 1949.0)	(35.0, 8231.0)	(36.0, 8784.0)	(37.0, 3650.0)	(38.0, 10027.0)	(39.0, 215779.0)	(40.0, 10677.0)													
Negative_S96_R1_16S	(18.0, 5.0)	(19.0, 3.0)	(20.0, 7.0)	(21.0, 0.0)	(22.0, 4.0)	(23.0, 6.0)	(24.0, 0.0)	(25.0, 4.0)	(26.0, 9.0)	(27.0, 5.0)	(28.0, 14.0)	(29.0, 14.0)	(30.0, 13.0)	(31.0, 12.0)	(32.0, 20.0)	(33.0, 24.0)	(34.0, 32.0)	(35.0, 62.0)	(36.0, 131.0)	(37.0, 121.0)	(38.0, 180.0)	(39.0, 1218.0)	(40.0, 179.0)															
Undetermined_S0_R1_16S	(3.0, 47.0)	(4.0, 216.0)	(5.0, 258.0)	(6.0, 281.0)	(7.0, 309.0)	(8.0, 641.0)	(9.0, 1014.0)	(10.0, 1514.0)	(11.0, 1408.0)	(12.0, 1450.0)	(13.0, 1365.0)	(14.0, 1229.0)	(15.0, 1187.0)	(16.0, 4731.0)	(17.0, 17756.0)	(18.0, 29278.0)	(19.0, 23627.0)	(20.0, 17788.0)	(21.0, 14678.0)	(22.0, 16578.0)	(23.0, 22266.0)	(24.0, 26437.0)	(25.0, 23386.0)	(26.0, 18094.0)	(27.0, 17883.0)	(28.0, 21347.0)	(29.0, 26899.0)	(30.0, 27774.0)	(31.0, 30117.0)	(32.0, 33052.0)	(33.0, 37358.0)	(34.0, 43276.0)	(35.0, 56278.0)	(36.0, 85054.0)	(37.0, 104564.0)	(38.0, 192166.0)	(39.0, 2125350.0)	(40.0, 234856.0)
