Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
052022-BEL-CBC-T1-53-PAST_S53_R1_16S	(1.0, 2.6536942022572245)	(2.0, 1.3789721693994954)	(3.0, 1.0677167426117948)	(4.0, 0.8555288451955239)	(5.0, 0.7051335717332632)	(6.0, 0.6123449702797412)	(7.0, 0.5448714115428622)	(8.0, 0.48557042565151354)	(9.0, 0.45567076889957303)	('>10', 9.159460849389449)	('>50', 5.214898799628447)	('>100', 14.028719616965462)	('>500', 6.8416394579790225)	('>1k', 19.391721383038522)	('>5k', 18.585925633573726)	('>10k+', 18.018131151854377)
052022-BEL-CBC-T1-54-MCAV_S19_R1_16S	(1.0, 4.443922439566072)	(2.0, 1.8792175621423082)	(3.0, 1.230033313402238)	(4.0, 1.0250277611685317)	(5.0, 0.8755445459981208)	(6.0, 0.5509524216280858)	(7.0, 0.6278295037157257)	(8.0, 0.3929273084479371)	(9.0, 0.6342359272230289)	('>10', 6.93388570940463)	('>50', 3.7264030067480998)	('>100', 7.8948492355001285)	('>500', 4.964978218160075)	('>1k', 12.537370803792601)	('>5k', 25.896899291022464)	('>10k+', 26.385922952079955)
052022-BEL-CBC-T1-55-PSTR_S67_R1_16S	(1.0, 8.11968573723423)	(2.0, 3.022609562672526)	(3.0, 1.503919052410979)	(4.0, 0.7995051561620059)	(5.0, 0.5747020319986705)	(6.0, 0.4708402189868626)	(7.0, 0.43945087105440517)	(8.0, 0.42098654874119484)	(9.0, 0.34066674667873004)	('>10', 6.3295696889684905)	('>50', 0.7039522881911427)	('>100', 16.68990093891079)	('>500', 33.14253533609683)	('>1k', 27.441675821893146)	('>5k', 0.0)	('>10k+', 0.0)
052022-BEL-CBC-T1-62-MCAV_S92_R1_16S	(1.0, 3.088421198860874)	(2.0, 1.4236299229006042)	(3.0, 0.8335069806209627)	(4.0, 0.4978815030909217)	(5.0, 0.3695214280752935)	(6.0, 0.2717232756824338)	(7.0, 0.23143710495242062)	(8.0, 0.20226436063068695)	(9.0, 0.15503229839549906)	('>10', 1.9423491005070501)	('>50', 0.1294714176564562)	('>100', 3.103702160172258)	('>500', 17.350836979926374)	('>1k', 70.40022226852817)	('>5k', 0.0)	('>10k+', 0.0)
052022-BEL-CBC-T1-63-OFAV_S60_R1_16S	(1.0, 1.0133119909834567)	(2.0, 0.4761562188070466)	(3.0, 0.38263356204418947)	(4.0, 0.32912781130005486)	(5.0, 0.28476449975869955)	(6.0, 0.2365044108522252)	(7.0, 0.21664583389536854)	(8.0, 0.20682895245631863)	(9.0, 0.18344828826560433)	('>10', 2.1410543480541593)	('>50', 0.8220701479876142)	('>100', 4.008135272129949)	('>500', 0.5265895104748373)	('>1k', 0.9696980597046243)	('>5k', 10.357259546355165)	('>10k+', 77.84577154693069)
052022-BEL-CBC-T2-10-MCAV_S3_R1_16S	(1.0, 2.112244383319302)	(2.0, 0.8864869897850317)	(3.0, 0.6255843636885617)	(4.0, 0.48184544477593405)	(5.0, 0.4025077688848886)	(6.0, 0.3305413196047471)	(7.0, 0.24305649851217612)	(8.0, 0.2653641579925434)	(9.0, 0.1868024006921194)	('>10', 3.6879410612238566)	('>50', 2.5071869459456315)	('>100', 10.867903739539647)	('>500', 10.332131952715521)	('>1k', 37.480553540322546)	('>5k', 9.339344116015349)	('>10k+', 20.250505316982142)
052022-BEL-CBC-T2-11-PAST_S86_R1_16S	(1.0, 2.0668286271854712)	(2.0, 0.9837110199530048)	(3.0, 0.65355051973396)	(4.0, 0.47855350671074115)	(5.0, 0.34171014377314907)	(6.0, 0.2705006173085348)	(7.0, 0.20072483969891275)	(8.0, 0.17204986259906807)	(9.0, 0.15341112748416902)	('>10', 2.4520291528933846)	('>50', 2.1521366840575094)	('>100', 4.1068142896969215)	('>500', 7.1551236608387425)	('>1k', 48.616989923931655)	('>5k', 26.818272332629732)	('>10k+', 3.377593691505038)
052022-BEL-CBC-T2-59-OFAV_S61_R1_16S	(1.0, 2.4173501162229725)	(2.0, 1.2527520722775318)	(3.0, 0.9870619709661858)	(4.0, 0.7989123284066488)	(5.0, 0.6403227928599623)	(6.0, 0.5794482698127275)	(7.0, 0.4905925178720232)	(8.0, 0.46103241085917285)	(9.0, 0.41366606727775096)	('>10', 6.931450374983554)	('>50', 4.235428270689882)	('>100', 21.093636244024385)	('>500', 9.22292881891145)	('>1k', 8.504977851848603)	('>5k', 13.379413183632296)	('>10k+', 28.591026709354857)
052022-BEL-CBC-T3-16-SSID_S12_R1_16S	(1.0, 1.3995809059564857)	(2.0, 0.5845519755875243)	(3.0, 0.4216948044227797)	(4.0, 0.34825427020171995)	(5.0, 0.2953721317322554)	(6.0, 0.3180359053620259)	(7.0, 0.2522738081084294)	(8.0, 0.2358023223556454)	(9.0, 0.2162346926643681)	('>10', 5.063681488526929)	('>50', 2.936259065509452)	('>100', 8.913303015891888)	('>500', 4.0635031506360715)	('>1k', 11.68398030357072)	('>5k', 10.523669401180994)	('>10k+', 52.743802758292716)
052022-BEL-CBC-T3-25-PAST_S69_R1_16S	(1.0, 4.477282908542192)	(2.0, 2.0722420012731946)	(3.0, 1.4203192417419188)	(4.0, 1.052979039445453)	(5.0, 0.9006672482493575)	(6.0, 0.8289911112159009)	(7.0, 0.7666281564614623)	(8.0, 0.7290217621955533)	(9.0, 0.7596727418480183)	('>10', 22.978921557069768)	('>50', 13.705703439983024)	('>100', 28.91860986018438)	('>500', 10.488293683540425)	('>1k', 10.900667248249357)	('>5k', 0.0)	('>10k+', 0.0)
052022-BEL-CBC-T3-6-SSID_S77_R1_16S	(1.0, 6.587640886125145)	(2.0, 4.270025985038528)	(3.0, 3.1755387318401844)	(4.0, 2.3383322680217002)	(5.0, 1.820398094644641)	(6.0, 1.5542843193622262)	(7.0, 1.2905795402350537)	(8.0, 1.128052599628051)	(9.0, 0.9134913420678181)	('>10', 14.118484066899429)	('>50', 8.819977323316191)	('>100', 29.227065553603378)	('>500', 20.253233675839052)	('>1k', 4.502895613378601)	('>5k', 0.0)	('>10k+', 0.0)
052022-BEL-CBC-T3-65-OFAV_S5_R1_16S	(1.0, 1.0829535551300513)	(2.0, 0.43574277744632867)	(3.0, 0.27878166944146837)	(4.0, 0.20178482740525328)	(5.0, 0.16008471214426054)	(6.0, 0.16305213607669072)	(7.0, 0.15305660283061007)	(8.0, 0.1311913738548086)	(9.0, 0.10120477411656667)	('>10', 2.2369691044314575)	('>50', 0.6945333803956357)	('>100', 2.3205255151604125)	('>500', 1.3651711891248597)	('>1k', 9.458898054931703)	('>5k', 3.114233326982005)	('>10k+', 78.10181700052789)
062019-BEL-CBC-T1-12-PAST_S36_R1_16S	(1.0, 2.408753385790756)	(2.0, 1.2198137547079464)	(3.0, 0.9189339851203876)	(4.0, 0.7529855706352779)	(5.0, 0.6189118300779715)	(6.0, 0.512853497995326)	(7.0, 0.4182300265145831)	(8.0, 0.38649828834430366)	(9.0, 0.3704894835016402)	('>10', 6.853483701750249)	('>50', 2.855713499567619)	('>100', 4.876539239438834)	('>500', 6.825754164790634)	('>1k', 40.18067079751006)	('>5k', 17.028794408353164)	('>10k+', 13.771574365901246)
062019-BEL-CBC-T2-16-MCAV_S33_R1_16S	(1.0, 3.0499131389551106)	(2.0, 1.6484797437035144)	(3.0, 1.1472426318520579)	(4.0, 0.8543216189996314)	(5.0, 0.6241962533183927)	(6.0, 0.54823984177001)	(7.0, 0.484316129080777)	(8.0, 0.40008723706672883)	(9.0, 0.4264087658211189)	('>10', 6.586774559866438)	('>50', 0.7166976257981064)	('>100', 0.24027795534364635)	('>500', 1.1021200111302465)	('>1k', 44.92144903776011)	('>5k', 37.24947544953411)	('>10k+', 0.0)
062019-BEL-CBC-T2-2-PAST_S76_R1_16S	(1.0, 4.222039339998374)	(2.0, 1.8239961797935462)	(3.0, 1.2653163862472567)	(4.0, 1.0556368365439324)	(5.0, 0.9531465902625377)	(6.0, 0.935747378688125)	(7.0, 0.9396844265626271)	(8.0, 0.9255872551410225)	(9.0, 1.0081382589612289)	('>10', 30.790635414126637)	('>50', 20.64651406161099)	('>100', 33.95462488823864)	('>500', 1.4789329838250833)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
062019-BEL-CBC-T3-16-MCAV_S47_R1_16S	(1.0, 0.8962487134183343)	(2.0, 0.4252843890287692)	(3.0, 0.3442339349115402)	(4.0, 0.3034153504698747)	(5.0, 0.26611705462482105)	(6.0, 0.2323390473763792)	(7.0, 0.2065235976678926)	(8.0, 0.1837255381850733)	(9.0, 0.15690429173469764)	('>10', 2.2744416989918563)	('>50', 0.7084999882657047)	('>100', 2.262120688903715)	('>500', 0.10057967418890874)	('>1k', 2.182830379084792)	('>5k', 11.05244894743371)	('>10k+', 78.40428670571393)
062019-BEL-CBC-T3-27-SSID_S17_R1_16S	(1.0, 2.418144468201065)	(2.0, 1.1403177797342055)	(3.0, 0.8527229279335932)	(4.0, 0.6942522953087662)	(5.0, 0.5030813734121494)	(6.0, 0.45780404980505596)	(7.0, 0.3228105479394625)	(8.0, 0.30184882404728963)	(9.0, 0.21884039743428502)	('>10', 4.763342137257368)	('>50', 2.5623611285792145)	('>100', 6.472980337902989)	('>500', 5.496164004527732)	('>1k', 25.103760533266257)	('>5k', 23.93828868486144)	('>10k+', 24.753280509789125)
062024-BEL-CBC-T1-1341-SSID_S56_R1_16S	(1.0, 1.9785295962821086)	(2.0, 1.1185919116229677)	(3.0, 0.901714898553569)	(4.0, 0.7197456917248171)	(5.0, 0.5782919708540847)	(6.0, 0.5009059907543381)	(7.0, 0.4155991630538021)	(8.0, 0.3588915019118683)	(9.0, 0.3330961752119528)	('>10', 4.524065707987089)	('>50', 2.1496339236584503)	('>100', 5.267994518493077)	('>500', 2.3759038002544486)	('>1k', 17.791835919291472)	('>5k', 22.545606207701447)	('>10k+', 38.439593022644516)
062024-BEL-CBC-T2-1369-SSID_S10_R1_16S	(1.0, 0.897919223800339)	(2.0, 0.36019054298907005)	(3.0, 0.2579051960956222)	(4.0, 0.24207532098116002)	(5.0, 0.18934966002298986)	(6.0, 0.16146472616751417)	(7.0, 0.1525756424493931)	(8.0, 0.1295614393983673)	(9.0, 0.1271260739961424)	('>10', 2.343552126561069)	('>50', 1.2141514212792488)	('>100', 3.447381495119528)	('>500', 1.3539413953669608)	('>1k', 7.616970600268864)	('>5k', 4.650695540358876)	('>10k+', 76.85513959514485)
062024-BEL-CBC-T2-1378-PAST_S54_R1_16S	(1.0, 1.8675423872762373)	(2.0, 1.0558691971485505)	(3.0, 0.7802582961803507)	(4.0, 0.5618151964070128)	(5.0, 0.45341554781547766)	(6.0, 0.3424588729724152)	(7.0, 0.30364686736887475)	(8.0, 0.24912741479166628)	(9.0, 0.21451623802992087)	('>10', 3.3894296187656505)	('>50', 1.9836131146223548)	('>100', 2.3287203362124234)	('>500', 1.8410589010997038)	('>1k', 23.206017778638238)	('>5k', 19.309749027873412)	('>10k+', 42.112761204797714)
062024-BEL-CBC-T2-1387-OFAV_S44_R1_16S	(1.0, 3.3197018889645498)	(2.0, 1.7998021120587495)	(3.0, 1.373552991456207)	(4.0, 1.027813413491744)	(5.0, 0.8333113875857294)	(6.0, 0.6591248537472677)	(7.0, 0.5556663293291749)	(8.0, 0.5086397273209509)	(9.0, 0.40969575669564756)	('>10', 7.797763038595673)	('>50', 3.552577622109275)	('>100', 2.2508812785216343)	('>500', 1.3498515840440621)	('>1k', 50.75186131290749)	('>5k', 23.80975670317185)	('>10k+', 0.0)
062024-BEL-CBC-T3-1412-MCAV_S13_R1_16S	(1.0, 1.0985556351188501)	(2.0, 0.4795421146260345)	(3.0, 0.32634811963103705)	(4.0, 0.25149763347712945)	(5.0, 0.20708634502581094)	(6.0, 0.19012023483092524)	(7.0, 0.16242555495397942)	(8.0, 0.17165711491296137)	(9.0, 0.16167705009244035)	('>10', 2.7916736319202395)	('>50', 0.999752993395692)	('>100', 2.199855788063344)	('>500', 1.9565917080631439)	('>1k', 2.772212505520223)	('>5k', 0.0)	('>10k+', 86.23100357036819)
062024-BEL-CBC-T3-1421-OFAV_S55_R1_16S	(1.0, 0.9265096821769649)	(2.0, 0.407748472792491)	(3.0, 0.2982151473493504)	(4.0, 0.23260895294106937)	(5.0, 0.20740206298194663)	(6.0, 0.1720668966961335)	(7.0, 0.15533817062845387)	(8.0, 0.13747143598474157)	(9.0, 0.13365910725503227)	('>10', 1.9956687393596197)	('>50', 1.0215333982756893)	('>100', 4.397151336932475)	('>500', 2.2030708023415664)	('>1k', 1.0709798709043072)	('>5k', 2.7216613104396354)	('>10k+', 83.91891461294053)
062024-BEL-CBC-T3-1445-SSID_S58_R1_16S	(1.0, 2.809866785645994)	(2.0, 1.5761361463445729)	(3.0, 1.2026260437249028)	(4.0, 0.9725710157860072)	(5.0, 0.7886629698089956)	(6.0, 0.6771623430428964)	(7.0, 0.5907323602524062)	(8.0, 0.5024327023179722)	(9.0, 0.45586079418701003)	('>10', 6.624089064525039)	('>50', 3.0145962139078333)	('>100', 9.09698939809208)	('>500', 6.154375677226082)	('>1k', 19.955892663649692)	('>5k', 11.914674825249113)	('>10k+', 33.6633309962394)
