Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
062024-BEL-CBC-T4-1467-MCAV_S57_R1_16S	062024-BEL-CBC-T4-1467-MCAV_S57_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	792945.0	199 Mbp	0.0	251.0	36.0	2.0072010038527264	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
062024-BEL-CBC-T4-1470-PSTR_S11_R1_16S	062024-BEL-CBC-T4-1470-PSTR_S11_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	369383.0	92.7 Mbp	0.0	251.0	38.0	2.00117493225189	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
082024-BEL-CBC-T1-1480-SSID_S70_R1_16S	082024-BEL-CBC-T1-1480-SSID_S70_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	331250.0	83.1 Mbp	0.0	251.0	46.0	14.173584905660377	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
082024-BEL-CBC-T1-1483-MCAV_S91_R1_16S	082024-BEL-CBC-T1-1483-MCAV_S91_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	255536.0	64.1 Mbp	0.0	251.0	37.0	4.5872205873145075	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
082024-BEL-CBC-T2-1507-OFAV_S28_R1_16S	082024-BEL-CBC-T2-1507-OFAV_S28_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1182307.0	296.7 Mbp	0.0	251.0	36.0	0.9577038789417638	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
082024-BEL-CBC-T2-1509-SSID_S48_R1_16S	082024-BEL-CBC-T2-1509-SSID_S48_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	701574.0	176 Mbp	0.0	251.0	45.0	6.909748650890711	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
082024-BEL-CBC-T2-1516-OFAV_S41_R1_16S	082024-BEL-CBC-T2-1516-OFAV_S41_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	380943.0	95.6 Mbp	0.0	251.0	36.0	2.1604282005444384	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
082024-BEL-CBC-T3-1555-SSID_S65_R1_16S	082024-BEL-CBC-T3-1555-SSID_S65_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	246238.0	61.8 Mbp	0.0	251.0	47.0	18.03052331484174	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
082024-BEL-CBC-T3-1563-SSID_S8_R1_16S	082024-BEL-CBC-T3-1563-SSID_S8_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	881782.0	221.3 Mbp	0.0	251.0	48.0	1.7559895756547534	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
082024-BEL-CBC-T4-1605-MCAV_S42_R1_16S	082024-BEL-CBC-T4-1605-MCAV_S42_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	404413.0	101.5 Mbp	0.0	251.0	36.0	2.811235049318395	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
082024-BEL-CBC-T4-1610-MCAV_S72_R1_16S	082024-BEL-CBC-T4-1610-MCAV_S72_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1410657.0	354 Mbp	0.0	251.0	35.0	2.7134874033872163	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
092023-BEL-CBC-T1-172-PAST_S83_R1_16S	092023-BEL-CBC-T1-172-PAST_S83_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1449512.0	363.8 Mbp	0.0	251.0	46.0	9.03158044808572	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
092023-BEL-CBC-T1-178-OANN_S87_R1_16S	092023-BEL-CBC-T1-178-OANN_S87_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1178117.0	295.7 Mbp	0.0	251.0	56.0	8.826441438129203	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	warn
092023-BEL-CBC-T2-171-OFAV_S66_R1_16S	092023-BEL-CBC-T2-171-OFAV_S66_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	783972.0	196.7 Mbp	0.0	251.0	43.0	7.191966039603455	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
092023-BEL-CBC-T2-172-OFAV_S71_R1_16S	092023-BEL-CBC-T2-172-OFAV_S71_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	868674.0	218 Mbp	0.0	251.0	53.0	9.959662658258448	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	warn	fail
092023-BEL-CBC-T2-176-MCAV_S51_R1_16S	092023-BEL-CBC-T2-176-MCAV_S51_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	792219.0	198.8 Mbp	0.0	251.0	38.0	4.223705818719319	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
092023-BEL-CBC-T2-182-PAST_S32_R1_16S	092023-BEL-CBC-T2-182-PAST_S32_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	736320.0	184.8 Mbp	0.0	251.0	47.0	1.6691112559756627	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
092023-BEL-CBC-T3-176-MCAV_S34_R1_16S	092023-BEL-CBC-T3-176-MCAV_S34_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	552065.0	138.5 Mbp	0.0	251.0	39.0	4.674449566627118	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
092023-BEL-CBC-T3-181-PAST_S37_R1_16S	092023-BEL-CBC-T3-181-PAST_S37_R1_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	795926.0	199.7 Mbp	0.0	251.0	47.0	4.654327161067737	251.0	251	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
