Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
122022-BEL-CBC-T2-83-PAST_S75_R1_16S	88.68716715914593	47.0	251.0	251	36.36363636363637	0.47920799999999997
122022-BEL-CBC-T2-88-MCAV_S89_R1_16S	91.06192162687078	40.0	251.0	251	36.36363636363637	0.52518
122022-BEL-CBC-T2-90-SSID_S64_R1_16S	90.99421814815427	45.0	251.0	251	36.36363636363637	0.9678559999999999
122022-BEL-CBC-T2-93-OFAV_S9_R1_16S	98.10265606047628	38.0	251.0	251	45.45454545454545	0.361927
122022-BEL-CBC-T2-94-PAST_S16_R1_16S	98.05159586460111	55.0	251.0	251	45.45454545454545	0.7762249999999999
122022-BEL-CBC-T4-34-PSTR_S25_R1_16S	92.42513074271241	68.0	251.0	251	45.45454545454545	0.042641
122023-BEL-CBC-T1-509-MCAV_S26_R1_16S	96.16651368716592	36.0	251.0	251	45.45454545454545	0.18520999999999999
122023-BEL-CBC-T2-514-SSID_S81_R1_16S	90.54729442436172	43.0	251.0	251	36.36363636363637	0.679689
122023-BEL-CBC-T2-516-MCAV_S20_R1_16S	99.09852786163312	35.0	251.0	251	45.45454545454545	0.8642529999999999
122023-BEL-CBC-T2-520-PAST_S2_R1_16S	98.13730607715061	47.0	251.0	251	45.45454545454545	1.063245
122023-BEL-CBC-T2-521-OFAV_S90_R1_16S	97.38529370002792	35.0	251.0	251	45.45454545454545	0.816956
122023-BEL-CBC-T3-527-OFAV_S78_R1_16S	96.517181738982	39.0	251.0	251	36.36363636363637	1.013547
122023-BEL-CBC-T3-534-SSID_S27_R1_16S	92.42566197003738	50.0	251.0	251	45.45454545454545	0.10993699999999999
122023-BEL-CBC-T4-536-PSTR_S50_R1_16S	95.65211444008908	39.0	251.0	251	45.45454545454545	1.169695
Negative_S96_R1_16S	86.45911290724942	53.0	251.0	251	45.45454545454545	0.020043
Undetermined_S0_R1_16S	88.686030167058	45.0	251.0	251	45.45454545454545	3.1445969999999996
