Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
052022-BEL-CBC-T3-48-MCAV_S7_R2_16S	052022-BEL-CBC-T3-48-MCAV_S7_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	738219.0	172.1 Mbp	0.0	212-251	45.0	2.691748654532056	233.2436743026121	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-49-MCAV_S2_R2_16S	052022-BEL-CBC-T3-49-MCAV_S2_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	417175.0	97.3 Mbp	0.0	210-251	40.0	1.9634445975909391	233.45659255708037	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-51-MCAV_S33_R2_16S	052022-BEL-CBC-T3-51-MCAV_S33_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	543684.0	125.7 Mbp	0.0	205-251	38.0	2.478093892775951	231.24197327859565	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
052022-BEL-CBC-T3-55-PAST_S88_R2_16S	052022-BEL-CBC-T3-55-PAST_S88_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1144689.0	265.8 Mbp	0.0	195-251	46.0	2.2652440968682326	232.60978003632428	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T1-16-MCAV_S78_R2_16S	062019-BEL-CBC-T1-16-MCAV_S78_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	594587.0	138.2 Mbp	0.0	202-251	40.0	1.8485099741501243	232.83559092277497	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T1-17-MCAV_S65_R2_16S	062019-BEL-CBC-T1-17-MCAV_S65_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	797141.0	183.7 Mbp	0.0	202-251	37.0	1.663821080586747	230.98959218005348	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T2-25-PAST_S79_R2_16S	062019-BEL-CBC-T2-25-PAST_S79_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	391023.0	91.3 Mbp	0.0	214-251	49.0	2.721834776982428	233.62980949969696	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T2-26-SSID_S44_R2_16S	062019-BEL-CBC-T2-26-SSID_S44_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	654418.0	151.2 Mbp	0.0	199-251	45.0	3.4618546555871017	230.68798688300137	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-12-PAST_S36_R2_16S	062019-BEL-CBC-T3-12-PAST_S36_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	638130.0	147.8 Mbp	0.0	210-251	48.0	3.8321345180449127	231.66732013852976	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-15-MCAV_S60_R2_16S	062019-BEL-CBC-T3-15-MCAV_S60_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	966148.0	223.2 Mbp	0.0	203-251	38.0	2.3047193597668265	231.07212042047388	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-23-PAST_S26_R2_16S	062019-BEL-CBC-T3-23-PAST_S26_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	447773.0	104.3 Mbp	0.0	210-251	50.0	1.3118254115366492	233.13721014889242	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-28-SSID_S95_R2_16S	062019-BEL-CBC-T3-28-SSID_S95_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1232779.0	282.3 Mbp	0.0	183-251	42.0	3.579068105475515	229.51397574098846	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-31-PAST_S42_R2_16S	062019-BEL-CBC-T3-31-PAST_S42_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	910483.0	210.5 Mbp	0.0	210-251	48.0	2.682422406568821	231.2277395624081	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-4-PAST_S22_R2_16S	062019-BEL-CBC-T3-4-PAST_S22_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	634501.0	147.5 Mbp	0.0	201-251	47.0	2.6189084020356157	232.00245941298752	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-7-PAST_S58_R2_16S	062019-BEL-CBC-T3-7-PAST_S58_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	738871.0	170.5 Mbp	0.0	211-251	45.0	3.1136693685365917	230.82677625728985	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-8-MCAV_S77_R2_16S	062019-BEL-CBC-T3-8-MCAV_S77_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	256107.0	60 Mbp	0.0	222-251	44.0	2.558696169960212	234.36741283916487	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062019-BEL-CBC-T3-9-MCAV_S80_R2_16S	062019-BEL-CBC-T3-9-MCAV_S80_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	661360.0	153 Mbp	0.0	195-251	37.0	1.6989234305068344	231.87208781903956	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T1-1344-SSID_S39_R2_16S	062024-BEL-CBC-T1-1344-SSID_S39_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	865598.0	200.4 Mbp	0.0	210-251	51.0	6.017689504827876	231.57987079452587	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T2-1381-SSID_S30_R2_16S	062024-BEL-CBC-T2-1381-SSID_S30_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	480350.0	112.7 Mbp	0.0	201-251	49.0	3.7574685125429372	234.1674549807432	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T3-1430-PSTR_S62_R2_16S	062024-BEL-CBC-T3-1430-PSTR_S62_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	628992.0	145.6 Mbp	0.0	202-251	40.0	2.630399114774115	231.13282521876272	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
062024-BEL-CBC-T4-1461-OFAV_S72_R2_16S	062024-BEL-CBC-T4-1461-OFAV_S72_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1270045.0	292.4 Mbp	0.0	202-251	36.0	2.1466955895263555	230.76386309146525	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T2-1513-PAST_S53_R2_16S	082024-BEL-CBC-T2-1513-PAST_S53_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1012050.0	232.2 Mbp	0.0	199-251	43.0	2.42903018625562	229.02661232152562	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T2-1514-MCAV_S71_R2_16S	082024-BEL-CBC-T2-1514-MCAV_S71_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	929496.0	213.9 Mbp	0.0	201-251	34.0	1.8219551240672365	230.67595987502904	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
082024-BEL-CBC-T2-1515-MCAV_S25_R2_16S	082024-BEL-CBC-T2-1515-MCAV_S25_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	535707.0	123.9 Mbp	0.0	212-251	39.0	2.584995155934121	231.4463559371074	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T1-177-PSTR_S50_R2_16S	092023-BEL-CBC-T1-177-PSTR_S50_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	624682.0	143.2 Mbp	0.0	204-251	53.0	5.505841372090119	229.3885641014148	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T1-190-OANN_S81_R2_16S	092023-BEL-CBC-T1-190-OANN_S81_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	590691.0	136.6 Mbp	0.0	206-251	40.0	1.688361596841665	231.40329884829802	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T1-196-SSID_S82_R2_16S	092023-BEL-CBC-T1-196-SSID_S82_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	611942.0	141.5 Mbp	0.0	208-251	49.0	3.5205950890770694	231.39080174264882	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T2-194-OANN_S4_R2_16S	092023-BEL-CBC-T2-194-OANN_S4_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	619118.0	143.8 Mbp	0.0	205-251	40.0	1.5481701388103721	232.352965024438	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T3-184-PAST_S37_R2_16S	092023-BEL-CBC-T3-184-PAST_S37_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1065322.0	244.5 Mbp	0.0	205-251	44.0	3.577134425084622	229.5158365264211	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T3-198-SSID_S76_R2_16S	092023-BEL-CBC-T3-198-SSID_S76_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	451629.0	105 Mbp	0.0	206-251	52.0	4.570122822050843	232.60987004820328	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T3-220-SSID_S19_R2_16S	092023-BEL-CBC-T3-220-SSID_S19_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	449112.0	105.2 Mbp	0.0	211-251	50.0	4.074262099431768	234.29089180427155	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T3-264-SSID_S59_R2_16S	092023-BEL-CBC-T3-264-SSID_S59_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	661377.0	153.3 Mbp	0.0	204-251	50.0	4.825387033416644	231.90940870335677	229	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
