Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
052022-BEL-CBC-T1-4-PSTR_S52_R2_16S	(1.0, 1.4288440966411733)	(2.0, 0.33823522884143337)	(3.0, 0.19788092521983072)	(4.0, 0.129257347294784)	(5.0, 0.10076036344751362)	(6.0, 0.07510420041990883)	(7.0, 0.07022153963610861)	(8.0, 0.06320826323755921)	(9.0, 0.050335793898449534)	('>10', 1.871834593207775)	('>50', 1.9282071313480138)	('>100', 3.5896434325993063)	('>500', 0.21821054921056252)	('>1k', 2.864879020982125)	('>5k', 1.9355755103490215)	('>10k+', 85.13780200366642)
052022-BEL-CBC-T1-61-PAST_S89_R2_16S	(1.0, 2.2051974620323933)	(2.0, 0.7329705306988554)	(3.0, 0.5051553657519139)	(4.0, 0.4411537809507664)	(5.0, 0.3409608237918272)	(6.0, 0.31086484046271623)	(7.0, 0.2786735671549962)	(8.0, 0.2788640480621425)	(9.0, 0.19200475440344236)	('>10', 4.109625571680823)	('>50', 1.9501435273635348)	('>100', 7.026078740997396)	('>500', 7.022078641947324)	('>1k', 10.393971660250635)	('>5k', 6.3734911531142675)	('>10k+', 57.83876553133697)
052022-BEL-CBC-T2-4-MCAV_S83_R2_16S	(1.0, 1.0667152348862663)	(2.0, 0.2742675930340317)	(3.0, 0.16659613561246844)	(4.0, 0.10213610886423574)	(5.0, 0.09552940252161911)	(6.0, 0.07928047611139978)	(7.0, 0.053746448895340845)	(8.0, 0.05571060483503769)	(9.0, 0.0466040636600796)	('>10', 1.3445540205379287)	('>50', 1.31669871812041)	('>100', 3.826175770529447)	('>500', 3.4795915269883952)	('>1k', 9.159037706437253)	('>5k', 4.342748782669716)	('>10k+', 74.59060740629637)
052022-BEL-CBC-T2-60-PAST_S20_R2_16S	(1.0, 3.1966077558457746)	(2.0, 0.823492746666788)	(3.0, 0.5241235603094695)	(4.0, 0.4067417212818279)	(5.0, 0.35715016913449094)	(6.0, 0.3303070354033636)	(7.0, 0.28503768275510644)	(8.0, 0.2511425393149541)	(9.0, 0.21906726934809856)	('>10', 3.073993780582405)	('>50', 1.5489398099597125)	('>100', 5.515354045010021)	('>500', 5.650707134586468)	('>1k', 23.43291832635336)	('>5k', 15.864519519280423)	('>10k+', 38.51989690416774)
052022-BEL-CBC-T2-62-PAST_S12_R2_16S	(1.0, 2.5364277797302046)	(2.0, 0.6420480657457219)	(3.0, 0.4436214214268336)	(4.0, 0.34008272282447083)	(5.0, 0.27979778865129357)	(6.0, 0.21816117433970428)	(7.0, 0.21194344570300885)	(8.0, 0.16652699305236407)	(9.0, 0.15328052769592604)	('>10', 3.1303560325484576)	('>50', 1.9939985401854505)	('>100', 4.574085588386365)	('>500', 3.1740153010191667)	('>1k', 7.009542861777189)	('>5k', 3.595739504203725)	('>10k+', 71.53037225271012)
052022-BEL-CBC-T2-72-OFAV_S13_R2_16S	(1.0, 2.778776434805018)	(2.0, 0.6719459388949162)	(3.0, 0.42282961779893163)	(4.0, 0.3181562210676686)	(5.0, 0.2561157579594733)	(6.0, 0.2424350404535635)	(7.0, 0.21380098055747335)	(8.0, 0.1743496091450824)	(9.0, 0.21475544922067635)	('>10', 2.8358854764866646)	('>50', 1.4522240710633734)	('>100', 4.643490046482624)	('>500', 4.031198399037896)	('>1k', 24.885861455691973)	('>5k', 10.3093751093662)	('>10k+', 46.54880039196846)
052022-BEL-CBC-T3-40-MCAV_S1_R2_16S	(1.0, 2.820809196861942)	(2.0, 0.7623808640167411)	(3.0, 0.5110858226223666)	(4.0, 0.3756011294862537)	(5.0, 0.36442252444201995)	(6.0, 0.2548721950085293)	(7.0, 0.24101072475367943)	(8.0, 0.2271492544988296)	(9.0, 0.16700835936085207)	('>10', 3.4365267626983367)	('>50', 1.914000755673701)	('>100', 6.449831538421984)	('>500', 3.4012023707585577)	('>1k', 11.823610555286027)	('>5k', 10.291247375822465)	('>10k+', 56.95924057028772)
052022-BEL-CBC-T3-48-MCAV_S7_R2_16S	(1.0, 2.016339324780316)	(2.0, 0.4388941492971598)	(3.0, 0.2608981887488672)	(4.0, 0.2053591143007698)	(5.0, 0.18829100849476918)	(6.0, 0.15036188448143437)	(7.0, 0.13749307454833862)	(8.0, 0.1408796034781007)	(9.0, 0.1523938018392916)	('>10', 3.0829604764981666)	('>50', 1.6262111920717293)	('>100', 4.96641240607462)	('>500', 2.2261686572683717)	('>1k', 8.529176301341472)	('>5k', 1.9720435263790284)	('>10k+', 73.90611729039756)
052022-BEL-CBC-T3-49-MCAV_S2_R2_16S	(1.0, 1.5619344399832205)	(2.0, 0.30922274824713847)	(3.0, 0.21357943309162822)	(4.0, 0.13615389225145322)	(5.0, 0.11026547611913465)	(6.0, 0.09923892850722119)	(7.0, 0.08725355066818483)	(8.0, 0.08821238089530772)	(9.0, 0.05177683226463715)	('>10', 1.0487205609156829)	('>50', 0.8600707137292503)	('>100', 1.8678012824354286)	('>500', 0.3943189309042967)	('>1k', 4.49427698208186)	('>5k', 1.5569005812908252)	('>10k+', 87.12027326661473)
052022-BEL-CBC-T3-51-MCAV_S33_R2_16S	(1.0, 1.7977354492683248)	(2.0, 0.506544242611517)	(3.0, 0.2847242148012448)	(4.0, 0.17142310606896655)	(5.0, 0.12691195620985718)	(6.0, 0.11808329838656278)	(7.0, 0.07982578115228699)	(8.0, 0.1000581219973367)	(9.0, 0.08111329375151742)	('>10', 3.335393353492102)	('>50', 3.753099226756719)	('>100', 3.157716614798302)	('>500', 1.0530013757991774)	('>1k', 2.8310562753364086)	('>5k', 1.1629917378477204)	('>10k+', 81.44032195172196)
