Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
042024-BEL-CBC-T2-1027-PAST_S73_R2_16S	(1.0, 2.0030998988779425)	(2.0, 0.8289359221757581)	(3.0, 0.5529477742107842)	(4.0, 0.39883599238714296)	(5.0, 0.3179383464556498)	(6.0, 0.24534242401494313)	(7.0, 0.20895614658724093)	(8.0, 0.18511077060306722)	(9.0, 0.16691763188921616)	('>10', 2.6350906786658954)	('>50', 0.6286347639086987)	('>100', 2.3650197165932907)	('>500', 3.613634256090507)	('>1k', 28.665674581270785)	('>5k', 41.21487774828998)	('>10k+', 15.968983347979105)
042024-BEL-CBC-T2-1034-SSID_S44_R2_16S	(1.0, 9.27392632208252)	(2.0, 4.574166848181224)	(3.0, 3.0031004231220195)	(4.0, 2.1920779323097457)	(5.0, 1.6776579524231034)	(6.0, 1.5557728580896018)	(7.0, 1.4565963934988437)	(8.0, 1.2661219685137897)	(9.0, 1.1282481450757031)	('>10', 9.510976610111364)	('>50', 4.053490409079744)	('>100', 59.7021461972314)	('>500', 0.6057179402809382)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T3-944-SSID_S70_R2_16S	(1.0, 4.371889684365739)	(2.0, 2.0005425902263347)	(3.0, 1.4093884676796398)	(4.0, 1.0893223627940496)	(5.0, 0.8656592160606706)	(6.0, 0.7138582099907014)	(7.0, 0.6146594625043231)	(8.0, 0.5550159567087554)	(9.0, 0.5237445352673292)	('>10', 9.953010029635367)	('>50', 6.812717320846855)	('>100', 21.938662452963435)	('>500', 4.164276439365542)	('>1k', 24.64156945258445)	('>5k', 20.34568381900681)	('>10k+', 0.0)
042024-BEL-CBC-T3-946-OFAV_S13_R2_16S	(1.0, 1.7402302861130494)	(2.0, 0.5199506529757751)	(3.0, 0.37711220217326286)	(4.0, 0.3127803808194597)	(5.0, 0.2881691755557771)	(6.0, 0.242996710198385)	(7.0, 0.1973569434752268)	(8.0, 0.18442827235569734)	(9.0, 0.16682658757850663)	('>10', 2.486354800119629)	('>50', 1.0906813876981358)	('>100', 2.066562406539727)	('>500', 2.4154807596451002)	('>1k', 8.96455363373542)	('>5k', 0.0)	('>10k+', 78.94651580101684)
042024-BEL-CBC-T3-955-OFAV_S30_R2_16S	(1.0, 2.644405467801041)	(2.0, 0.690793950802117)	(3.0, 0.3139388865634157)	(4.0, 0.17359729023874762)	(5.0, 0.14894442061904384)	(6.0, 0.12095314157167181)	(7.0, 0.11864193504482456)	(8.0, 0.09142105817306828)	(9.0, 0.07395860885911142)	('>10', 0.36029141746296295)	('>50', 0.01155603263423616)	('>100', 41.23218123967982)	('>500', 48.37136980074831)	('>1k', 5.647946749801622)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T4-1041-MCAV_S39_R2_16S	(1.0, 3.3243731462714603)	(2.0, 1.1684179759560327)	(3.0, 0.6741702243880001)	(4.0, 0.4873000129371685)	(5.0, 0.3869171685808884)	(6.0, 0.3054609225638593)	(7.0, 0.311090986626801)	(8.0, 0.30474219098135613)	(9.0, 0.3040234593988529)	('>10', 3.86066669541593)	('>50', 0.036415733513495384)	('>100', 39.184646935088956)	('>500', 45.76631161326491)	('>1k', 3.8854629350122902)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T4-1042-OFAV_S34_R2_16S	(1.0, 4.051311696667424)	(2.0, 1.6396813034244884)	(3.0, 1.0989662195175045)	(4.0, 0.7382073075750906)	(5.0, 0.5526879743804332)	(6.0, 0.43102405704417146)	(7.0, 0.36571738173444857)	(8.0, 0.2757392957521636)	(9.0, 0.22748491899553494)	('>10', 5.6105690388308656)	('>50', 2.7737196263490667)	('>100', 43.604783351151575)	('>500', 36.3987964221617)	('>1k', 2.2313114064155344)	('>5k', 0.0)	('>10k+', 0.0)
042024-BEL-CBC-T4-1044-PSTR_S6_R2_16S	(1.0, 1.5173534781737577)	(2.0, 0.44078596483306853)	(3.0, 0.3665691218426095)	(4.0, 0.3341168901167434)	(5.0, 0.3097071679925049)	(6.0, 0.27175216653920936)	(7.0, 0.23309168178752537)	(8.0, 0.20995182960038605)	(9.0, 0.17016257157128062)	('>10', 2.8840157238117543)	('>50', 1.144293909985975)	('>100', 3.163387109973558)	('>500', 0.07689767952433495)	('>1k', 0.2913646022344067)	('>5k', 1.0717702269116482)	('>10k+', 87.51477987510124)
042024-BEL-CBC-T4-1045-MCAV_S54_R2_16S	(1.0, 1.565410997359388)	(2.0, 0.6297866380429283)	(3.0, 0.47596221763136953)	(4.0, 0.3709172837553443)	(5.0, 0.28374206276857394)	(6.0, 0.1934275678958534)	(7.0, 0.1918579309528783)	(8.0, 0.13426432927602308)	(9.0, 0.14887402697602198)	('>10', 1.8636420165246546)	('>50', 0.6146939751297064)	('>100', 0.2435352087677505)	('>500', 0.31308219947187754)	('>1k', 5.4829833244186)	('>5k', 57.84160431384529)	('>10k+', 29.64621590718374)
052022-BEL-CBC-T1-1-PAST_S74_R2_16S	(1.0, 1.5804163411752237)	(2.0, 0.5944814970381914)	(3.0, 0.4178328747011694)	(4.0, 0.312157743294222)	(5.0, 0.2465229662836663)	(6.0, 0.21386259877602135)	(7.0, 0.17696266433228783)	(8.0, 0.15827716561397173)	(9.0, 0.11305511829569409)	('>10', 1.6301919974248555)	('>50', 0.2099370738351986)	('>100', 2.1482042686158205)	('>500', 0.3915318575976572)	('>1k', 16.186666561986)	('>5k', 27.483542236685597)	('>10k+', 48.13635703434442)
